code_item,description_item,total
1270,CEE-FORM CONN 3P+N+T 32A-03206,34
1271,CEE-FORM CONN 2P+E 16A 02701,28
1272,CEE-FORM CONN 3P+E 16A 03702,13
1273,CEE-FORM CONN 3P+N+E 16A 03703,19
1274,CEE-FORM CONN 2P+E 32A 02704,21
1275,CEE-FORM CONN 3P+E 32A 03705,14
1276,CEE-FORM CONN 3P+N+E 32A 03706,18
1277,CEE-FORM CONN 3P+E 63A 03752,19
1279,CEE-FORM CONN 3P+E 125A 03755,22
1280,CEE-FORM CONN 3P+N+E125A 03756,10
1281,CEE-FORM SCH-WCD 2P+E 16A-0236,22
1282,CEE-FORM SCH-WCD2P+E 16A 02831,12
1283,CEE-FORM SCH-WCD3P+E 16A-03362,16
1284,CEE-FORM SCH-WCD 3P+E16A 03832,9
1285,CEE-FORM WCD 3P+N+E 16A-03363,22
1286,CEE-FORM WCD 3P+N+E 16A 03833,17
1287,CEE-FORM WCD 2P+E 32A -02364,21
1288,CEE-FORM WCD 2P+E 32A 02834,21
1289,CEE-FORM WCD 3P+E 32A 03365,21
1290,CEE-FORM WCD 3P+E 32A 03835,12
1291,CEE-FORM WCD 3P+N+E 32A-03366,17
1292,CEE-FORM WCD 3P+N+E 32A-03836,7
1293,CEE-FORM WCD 3P+E 63A-03882,9
1294,CEE-FORM WCD 3P+N+E 63A 03883,1
1298,UNIMAX KLEM 16/4-16 mm,79
1299,UNIMAX KLEM 35/4-35 mm,54
1300,UNIMAX KLEM 25/4-25 mm,42
1301,UNIMAX KLEM 50/10-50 mm,153
1302,BADKAMER RAIL 6x6+1x25 mm,175
1303,BADKAMER RAIL 5x6+1x25 mm,106
1304,AARDRAIL VERN 12 X 3 MM,18
1305,AARDRAIL VERN 15 X 4 MM,6
1306,AARDRAIL VERN 20 X 5 MM,20
1307,AARDRAIL 63AMP BLANK KOPER,4
1309,"AARDKLEM 1/8""",135
1310,"AARDKLEM 1/4""",334
1311,"AARDKLEM 3/8""",169
1312,"AARDKLEM 1/2""",591
1313,"AARDKLEM 3/4""",42
1314,"AARDKLEM  1 """,202
1315,VERBINDING RAIL 1x6+1x25 mm,20
1316,VERBINDING RAIL 2x6+1x25 mm,524
1317,MUURBLOK 50 MM2,89
1320,AARDDRAAD BC  6 mm2,300
1321,AARDDRAAD BC 10 mm2,100
1322,AARDDRAAD BC 16 mm2,100
1323,AARDDRAAD BC 25 mm2,100
1324,,2
1327,MOERKLEM APC 10/6,140
1328,MOERKLEM APC 16/16,179
1329,MOERKLEM APC 25/25,191
1330,MOERKLEM APC 35/35,161
1331,MOERKLEM APC 50/50,193
1333,MOERKLEM APC 50/70,1500
1334,,218
1335,KOPPELING LEH-34,307
1336,AARDKLEM 3/4 Brass,129
1351,HOUTSCHR IJZ 3.5x25 (1x6),102
1353,HOUTSCHR IJZ 4.0x25 (1x8),222
1354,HOUTSCHR IJZ 4.0x40 (1 1/2x8),5000
1360,SPAANPLAAT SCHR.3.5x25 (1x6),330
1361,SPAANPLAAT SCHR.4.0x20 (3/4x8),360
1362,SPAANPLAAT SCHR.3.9x25 (1x8),8240
1363,SPAANPLAAT SCHR.4.0x35(11/4x8),4160
1365,SPAANPLAAT SCHR.3.5x45,120
1370,RAWPLUGS S5,1200
1372,RAWPLUGS S8,4100
1375,"RAWPLUGS  WIT   (5x25mm-1"")",2560
1376,"RAWPLUGS ROOD (6X25mm-1"")",2734
1377,RAW PLUGS GROEN (7x35mm-1.1/2),1622
1378,RAWPLUGS  BLAUW (8x35mm-1.1/2),1200
1399,BERKER WIPSCHA 2X/WIS 61303808,81
1402,BERKER WCD  220V INB WD 471509,9
1403,BERKER WCD 127V  INB  WD 4202,31
1404,BERKER WIPPENSCHAK 3x1P 633023,130
1405,BERKER WIPSCHA UIT/WISS 613036,104
1406,BERKER WIPSCHAK SERIE 613035,162
1407,BERKER WIPSCHAK  2P 613032,262
1408,BERKER WIPSCHAK  KRUIS 613037,116
1409,BERKER UNIV DRAAI DIMM  286110,3
1410,DRAAI DIMM DRUK/UIT 283010,55
1411,BERKER AFDEKRAAM 1V  10118989,6
1412,BERKER AFDEKRAAM  2V  10128989,16
1413,BERKER AFDEKRAAM  3V  10138989,58
1414,BERKER AFDEKRAAM  4V  10148989,12
1415,BERKER AFDEKRAAM  5V  10158989,129
1416,BERKER AFDEKPL SCHAK 16208989,33
1418,BERKER AFDEKPL SERIE 16238989,100
14180,BERKER AFDPL SCHAK 3P 16658989,62
1419,BERKER KNOP DRAAIDIMM 11378989,28
1420,BERKER AFDEKRAAM 1V WD 132809,104
1421,BERKER AFDEKRAAM  2V WD 132909,30
1425,BERKER TOERENTAL  REGEL 296801,22
1426,BERKER KNOP TOER-REG 11378929,20
1427,BERKER CENTR-STK DATA 11818989,132
1428,BERKER DRAAGPL 2-V DATA 454105,99
1429,BERKER-UNI DRAAI DIMM 286210,6
1430,BERKER AFDICHTFLENS  V WD 1884,181
1472,BERKER SCHAK WIS OPB  61300649,1
1473,BERKER SCHAK 2P OPB  61300249,21
1475,BERKER WCD OPB  220V  WD424005,9
1478,BERKER SCHUKO-DUBB 6147548989,55
1480,BERKER DUBB SCHUKO IP44 427505,35
1481,JALOEZIE SLEUTELSCHAK 327205,1
1496,OPBOUW KAST 2 MOD 610090,5
1497,OPBOUW KAST 4 MOD 610091,18
1506,OPBOUWKAST 2-RIJ 36PE 610285,1
1507,OPBOUWKAST4-RIJ VA 424 T 48PE,2
1508,INB DOOS CT536 (323 X 518 X60),24
1509,INB DOOS CT110 (108 X 108 X50),98
15091,INB DOOS CT114 (168 X 117 X50),147
15092,INB DOOS CT220 (217 X 217 X57),22
15093,INB DOOS CT225 (250 X 250 X65),17
15094,INB DOOS CT326 (222 X 318 X60),11
15095,INB CT338 (404 X 404 X120),2
1510,INBOUWKAST 1-RIJ BLD 610372,2
1511,INBOUWKAST 2-RIJ  28MOD 610373,8
15140,OPB.KAST WD 12MD CDN12PT/RR,21
15141,OPBOUW KAST WD CS13PT/RR,4
15142,OPBOUW KAST WD CSG13PT/RR,9
15143,OPB.KAST WD 24MD CDN24PT/RR,38
15144,OPB.KAST WD 36MD CDN36PT/RR,22
15145,OPB.KAST WD 54MD CDP54 PT/RR,29
15146,OPB.KAST WD 18MD CDP 18PT/RR,18
15147,OPB.KAST WD 36MD CDP 36PT2F/RR,2
1519,OPB.KAST 3-RIJ WD 36MOD 610318,5
1520,"GE AUTO 16A, 3P-2MOD C  UNIBIS",11
1521,"GE AUTO 20A, 3P-2MOD C  UNIBIS",48
1522,"GE AUTO 25A, 3P-2MOD C  UNIBIS",41
1523,"GE AUTO 25A, 4P-2MOD C  UNIBIS",93
1524,"GE AUTOMAAT 6A, 2P B  UNIBIS",6
1525,"GE AUTOMAAT 6A, 1P+N B  UNIBIS",37
1526,"GE  AUTOMAAT 40A, 2P C-KAR",5
1529,"GE SCHAKELAAR  80A, 4POL",8
1532,"GE SCHAKELAAR 100A, 4POL",36
1533,"GE SCHAKELAAR 125A, 4POL",1
1535,"GE AARDLEKSCHAKELAAR 63A, 30mA",7
1536,"GE AARDLEKSCHAKEL 40A, 300mA",18
1537,"GE AARDLEKSCHAKEL 63A, 300mA",1
1540,GE AARDLEKSCHAK.40A-30mA 2-P,34
1543,"GE  AUTOMAAT 25A, 1P+N C-KAR",92
1549,"GE  AUTOMAAT 16A, 2POL B-KAR",248
1550,"GE  AUTOMAAT 20A, 2POL B-KAR",36
1552,"GE  AUTOMAAT 20A, 1P+N B-KAR",31
1553,"GE  AUTOMAAT 25A, 1P+N B-KAR",181
1554,"GE  AUTOMAAT 16A, 1P+N C-KAR",210
1555,"GE  AUTOMAAT 20A, 1P+N C-KAR",12
1556,"GE  AUTOMAAT 32A, 1P+N C-KAR",29
1557,"GE  AUTOMAAT 16A, 2POL C-KAR",1
1560,"GE  AUTOMAAT 32A, 2POL C-KAR",2
1561,"GE  AUTOMAAT 16A, 3POL C-KAR",9
1562,"GE  AUTOMAAT 20A, 3POL C-KAR",51
1563,"GE  AUTOMAAT 25A, 3POL C-KAR",3
1564,"GE  AUTOMAAT 32A, 3POL C-KAR",39
1565,"GE  AUTOMAAT 40A, 3POL C-KAR",9
1566,"GE AUTOMAAT 50A, 3POL C-KAR",57
1567,"GE  AUTOMAAT 63A, 3POL C-KAR",26
1569,"GE  AUTOMAAT 32A, 3P+N C-KAR",8
1570,"GE  AUTOMAAT 40A, 3P+N C-KAR",41
1571,"GE  AUTOMAAT 50A, 3P+N C-KAR",30
1574,"GE  AUTOMAAT 100A, 3P+N C KAR",13
1575,"GE  AUTOMAAT 125A, 3P+N C-KAR",4
1576,"GE  AUTOMAAT 16A, 3P+N C-KAR",7
1577,"GE  AUTOMAAT 20A, 3P+N C-KAR",22
1578,"GE  AUTOMAAT 16A, 3P+N B-KAR",16
1580,GALAX Q22 TIJDKLOK 2 KANAL,3
15801,GALAX Q21 TIJDKLOK 1 KANAL,2
15802,GALAX Q11 TIJDKL 1 KANAL 1MOD,9
1591,VERB-KAM 0,54
1594,JSL VERDEELBLOK 160 A 160134BD,1
1595,GE RELAY 2P 20 A,96
15951,GE RELAY 4P 24 A,6
15952,GE RELAY 4P 40 A,55
15953,RCBO C/DM60 A 16/030//012,3
15958,HANDLE L ZW D4  400A,22
15959,FE250-Breaker-36kA FEV46TA250K,1
15962,RCBO C/DM60 A 25/030//012,2
15963,RCBO C/DM60 A 25/300//012,2
15965,RCBO C/DM60 A 20/030//012,2
15967,G60   1P+N   6A  C   /012  GE,6
15971,FEBSS4-Terminal SpreaderFlat-4,1
15972,3 MOD NET ANALY 665010,3
15975,FG-TERMINAL 400/630 431982,1
15976,LOADBREAK SWITCH DILOS 3 630A,0
15977,ROTARY HANDLE 730667,0
15978,MANDO ROT 436476,0
15982,GE 436506 MANDO ROT,1
15984,GE 433413 FG-TERMINAL,8
1611,OPB.KAST OLINTHOS 2RIJ 24 PE,22
1612,OPB.KAST OLINTHOS 3RIJ 36 PE,2
1627,PLP4080,5
1628,ZCL 1040,4
1629,TAPA 48642,1
1630,TCF4040,4
1632,TCA6080,10
1633,PACKSUP S144P200,1
1634,PACKSUP S120P200,6
1635,PACK SUP S96P200,4
16351,PACK SUP S72P200,2
1637,ZCL 1080,1
1639,PACK UNION 48112,2
1640,KIT SUJECION 48156 DINRAIL,10
1642,TMA3080,10
1643,PMB400,6
1644,PLP3080,1
1645,TCA4080,0
1649,OPBOUWKAST IDE ARM.40COM72,2
1650,IDE RAIL SOPORT 160-400A 48454,12
1651,RAIL COPPER 30X10X2000 48803,8
16510,RAIL COPPER 20X5X1000 48794,10
1652,IDE AARDE 48452 KIT TIERRA,6
1653,OPBOUWKAST IDE ARM.40COM96,5
1654,OPBOUWKAST IDE ARM.40COM120,7
1655,OPBOUWKAST IDE ARM.40COM144,29
1656,MOELLER OPB BF-0-4/96,8
1657,MOELLER OPB BF-0-5/120,3
1658,MOELLER OPB BF-0-6/144,3
1659,MOELLER OPB BF-0-3/72,8
1661,MOELLER INB BF-U-5/165,2
1664,MOELLER INB BF-U-4/96,9
1665,MOELLER INB BF-U-5/120,2
1666,MOELLER INB BF-U-6/144,5
1699,ETI AFDEK STROOK 2911003,372
1700,ETI 2423423 SCHAKELAAR 4P 40A,9
1701,ETI 2423414 SCHAKELAAR 4P 63A,27
1702,ETI 2423415 SCHAKELAAR 4P 80A,50
1703,ETI 2423416 SCHAKELAAR 4P 100A,36
1704,ETI 2423417 SCHAKELAAR 4P 125A,39
1705,ETI AARDLEKSCH 4P 40A 30 mA,16
1706,ETI AARDLEKSCH 4P 63A 30 mA,58
1707,ETI AARDLEKSCH 4P 40A 300mA,40
1708,ETI AARDLEKSCH 4P 63A 300 mA,34
1709,ETI  AUTOMAAT6KA 6A 1P+N BKAR,6
1710,ETI  AUTOMAAT6KA 16A 1P+N BKAR,56
1711,ETI  AUTOMAAT6KA 16A 1P+N CKAR,33
1712,ETI  AUTOMAAT6KA 20A 1P+N CKAR,20
1713,ETI  AUTOMAAT6KA 25A 1P+N CKAR,18
1714,ETI  AUTOMAAT6KA 50A 1P+N CKAR,18
1715,ETI AUTOMAAT 6KA 1P+N 25A B,13
1716,ETI AUTOMAAT 6KA 2P 16A CKAR,4
1717,ETI AUTOMAAT 6KA 2P 16A B KAR,20
1718,ETI AUTOMAAT 6KA 2P 20A CKAR,23
1719,ETI AUTOMAAT 6KA 2P 25A CKAR,60
1720,ETI AUTOMAAT 6KA 3P 16A CKAR,12
1721,ETI AUTOMAAT 6KA 3P 20A C KAR,27
1722,ETI AUTOMAAT 6KA 3P 25A C KAR,14
1723,ETI AUTOMAAT 6KA 3P 32A C KAR,25
1724,ETI AUTOMAAT 6KA 3P 40A CKAR,20
1725,ETI AUTOMAAT 6KA 3P 50A CKAR,20
1726,ETI AUTOMAAT 6KA 3P 63A CKAR,33
1727,ETI AUTOMAAT 6KA 3P+N 16A BKAR,2
1728,ETI AUTOMAAT 6KA 3P+N 16A CKAR,178
1730,ETI AUTOMAAT 6KA 3P+N 32A CKAR,4
1731,ETI AUTOMAAT 6KA 3P+N 40A CKAR,20
1732,ETI AUTOMAAT 6KA 3P+N 50A CKAR,27
1733,ETI AUTOMAAT 6KA 3P+N 63A CKAR,52
1734,ETI AARDLEK AUTOM 1P+N16A B 30,20
1735,ETI AARDLEK AUTOM 1P+N16A C 30,17
1736,ETI AUTOMAAT 6KA 3P+N 20A CKAR,330
1737,ETI AUTOMAAT 6KA 3P+N 6A BKAR,2
1738,ETI AUTOMAAT 6KA 3P+N 6A CKAR,5
1739,ETI AUTOMAAT 6KA 2P 32A CKAR,43
1740,ETI AUTOMAAT 6KA 2P 40A CKAR,41
1741,ETI AUTOMAAT 6KA 2P 6A B KAR,496
1742,ETI  AUTOMAAT6KA 32A 1P+N CKAR,9
1743,ETI  AUTOMAAT15KA 80A 3P+N C,17
1744,ETI  AUTOMAAT15KA 100A 3P+N C,23
1745,ETI  AUTOMAAT15KA 125A 3P+N C,25
1746,ETI 2421311 OMSCHAKELAAR 16A,24
1747,ETI  CRM-91 H TIJD RELAY,7
1748,ETI TIJDKLOK SHT 1 KANAL 230V,14
1749,ETI TIJDKLOK SHT 2 KANAL 230V,20
1750,ETI  MAGNEET SCHAKELAAR 2P 20A,67
1751,ETI  MAGNEET SCHAKELAAR 4P 25A,61
1752,ETI MAGNEET SCHAKELAAR 4P 40A,26
1753,ETI  MAGNEET SCHAKELAAR 4P 63A,95
1755,ETI AARDLEK AUTOM 2P B16 30MA,47
1758,ETI AARDLEK AUTOM 2P C25 30MA,68
1761,ETI VERMOGENS AUTOM EB 400/4S,2
1765,ETI AARDLEKSCH 4P 80A 30 mA,9
1766,ETI AARDLEKSCH 4P 100A 30 mA,15
1767,ETI AARDLEKSCH 4P 80A 300 MA,9
1768,ETI AARDLEKSCH 4P 100A 300 MA,6
1769,ETI  AUTOMAAT6KA B40 1P B KAR,40
1770,ETI AARDLEKSCH 4P 100A 100 mA,3
1771,ETI 2444005 TNC-S 25/100 4+0,10
1772,ETI 4671147 SHUNTDA2 AC200-240,5
1773,ETI 4671149 SHUNT DC 24V,5
1774,ETI 4671153 UNDERV AC 200-240,5
1775,ETI 4671155 UNDERV DC 24V,1
1777,ETI 2159301 DA ETIMAT 10 230V,20
1778,ETI 2159312 DA ETIMAT 10 24V,18
1779,ETI AARDLEKSCH 4P 40A 100 mA,3
1784,ETI AARDLEK AUTOM 1P+N25A C 30,6
1786,ETI  HULPCONTACT BLOK BCXMLE11,1
1788,ETI  4804051 KWH METER 3X63A D,2
1800,CA-32 CAJA VACIA TAPA TRANSPAR,1
1801,CA-33 CAJA VACIA TAPA TRANSPAR,2
1802,CA-43 CAJA VACIA TAPA TRANSPAR,5
1804,CA-63 CAJA VACIA TAPA TRANSPAR,26
1805,CA-64 CAJA VACIA TAPA TRANSPAR,9
1806,CA-66 CAJA VACIA TAPA TRANSPAR,16
1808,CA-86A CAJA VACIA TAPA TRANSP,13
1809,PP-32 PLACA POLIESTER PP-32,12
1810,PP-33 PLACA POLIESTER PP-33,19
1811,PP-43 PLACA POLIESTER PP-43,31
1812,PP-44 PLACA POLIESTER PP-44,26
1813,PP-63 PLACA POLIESTER PP-63,39
18131,PP-64 PLACA POLIESTER PP-64,46
1814,PP-66 PLACA POLIESTER PP-66,27
1815,PP-84 PLACA POLIESTER PP-84,16
1816,PP-86 PLACA POLIESTER PP-86,0
1817,CU-32 CAJA CUERPO CA-32,21
1818,CU-33 CAJA CUERPO CA-33,15
1819,CU-44 CAJA CUERPO CA-44,28
1820,CU-43 CAJA CUERPO CA-43,22
1821,CU-63 CAJA CUERPO CA-63,39
18211,CU-64 CAJA CUERPO CA-64,49
1822,CU-66 CAJA CUERPO CA-66,15
1824,CU-86 CAJA CUERPO CA-86,5
1825,TT-32-CJ TAPA POLICARB.TRANSP.,11
1826,TT-33-CJ TAPA POLICARB.TRANSP.,26
1827,TT-43-CJ TAPA POLICARB.TRANSP.,20
1828,TT-44-CJ TAPA POLICARB.TRANSP.,50
1829,TT-63-CJ TAPA POLICARB.TRANSP.,18
1830,TT-64-CJ TAPA POLICARB.TRANSP.,44
1831,TT-66-CJ TAPA POLICARB.TRANSP.,26
1832,TT-84A-CJ TAPA POLICARB.TRANSP,10
1833,TT-86A-CJ TAPA POLICARB.TRANSP,26
1834,TO-32-CJ TAPA POLICARB.OPACO C,12
1835,TO-33-CJ TAPA POLICARB.OPACO C,53
18351,TO-43-CJ TAPA POLICARB.OPACO C,17
1836,TO-44-CJ TAPA POLICARB.OPACO C,8
1837,TO-63-CJ TAPA POLICARB.OPACO C,44
1838,TO-66-CJ TAPA POLICARB.OPACO C,18
1839,TO-84A-CJ TAPA POLICARB.OPACO,24
1840,TO-86A-CJ TAPA POLICARB.OPACO,16
1841,CHASSIS CA-33-1 EN KIT,99
1842,CHASSIS CA-43-1 EN KIT,60
1843,CHASSIS CA-44-1 EN KIT,24
1844,CHASSIS CA-63-1 EN KIT,40
1845,CHASSIS CA-64-1 EN KIT,37
1846,TC-02-CJ TAPA CIEGA C/JUNTA,25
1847,TC-03-CJ TAPA CIEGA C/JUNTA,33
1848,TC-04-CJ TAPA CIEGA C/JUNTA,57
1849,BA-20-CJ BRIDA ACOP.C/JUNTA,16
1850,BA-30-CJ BRIDA ACOP.C/JUNTA,125
1851,BA-40-CJ BRIDA ACOP.C/JUNTA,102
1852,CC-03-CJ CAJA CABLES CIEGA,52
1853,CC-04-CJ CAJA CABLES CIEGA,27
1854,RE-63 REGRUESO PARA CA-63,10
1855,RE-64 REGRUESO PARA CA-64,80
18551,RE-66 REGRUESO PARA CA-66,1
1856,BRES-325 ARMARIO VACIO NORMAL,4
1857,BRES-43 ARMARIO VACIO NORMAL,15
18571,BRES-54 ARMARIO VACIO NORMAL,12
1858,BRES-64 ARMARIO VACIO NORMAL,3
1859,BRES-65 ARMARIO VACIO NORMAL,9
1860,BRES-86 ARMARIO VACIO NORMAL,3
1862,ART-107 ARM.TEJADILLO 1000X750,3
18631,PBM-325 PLACA METALICA,4
1864,PBM-43 PLACA METALICA,13
18641,PBM-54 PLACA METALICA,10
1865,PBM-64 PLACA METALICA PBM-64,15
1866,PBM-65 PLACA METALICA PBM-65,14
1867,PBM-86 PLACA METALICA PBM-86,7
1868,CHM-325 CHASIS MODULAR BRES,3
1869,CHM-43 CHASIS MODULAR BRES,5
18691,CHM-54 CHASIS MODULAR BRES,12
1870,CHM-64 CHASIS MODULAR BRES,2
1871,CHM-65 CHASIS MODULAR BRES,5
1872,CHM-86 CHASIS MODULAR BRES,3
1873,PMM-75 PLACA MONT.ART75,5
1874,PMM-107 PLACA . PARA ART 107,5
1878,CR-350 CAJA REPART.CABLE 50MM,1
1879,CR-395 CAJA REPART.CABLE 95MM,2
1880,DV-M DISPOSITIVO VENTILACION,6
1881,DV-G DISPOSITIVO VENTILACION G,11
1882,OFC-4000 OREJA FIJACION  CAJA,39
1883,TFT-400 TORNILLO PARA CAJA,107
1884,TFT-400M TONILLO MANUAL,87
1885,HH 1042705 C-PROFIEL,12
1886,OFM-14 OREJA FIJACION MURAL 4U,42
1887,HH1021489 RAILSTEUN 15X8MM,50
18871,HH1021487 RAILST 15X4 R430/4,26
1888,HH1021489 RAILSTEUN 15X16MM,25
18881,HH1021490 RAILST 15X24 R430/24,11
18892,HH1763916 AFTAKSTRIP 250 NUL,8
1890,HH 1764.194 AFTAKSET DMV 400L,8
1891,HH 1764.249 AFTAKSET BOVEN N,8
1892,HH 1764.116 AFTAKSET DMV630L,11
1893,HH 1764.114 AFTAKSET DMV630NUL,12
1894,HH 1764.130 AFTAKSET DMV 1000L,1
1895,HH 1764.132 AFTAKSET 1000A NUL,1
1896,HH 1014.946 AFTAKBLOK 6X16MM,36
1897,HH 1014.316 RAILKOPPEL  A70/12,9
1898,HH 1014.317 RAILKOPPEL  A70/16,12
18981,HH1014761 AFTAKKLEM M6X30,45
1899,HH 1014.762 AFTAKKLEM 6X40,120
1901,HH 1014.764 AFTAKKLEM M6X60,172
1906,HH 1014.939 AARDRAILSET 219 MM,18
1907,HH 1014.940 AARDRAILSET 299 MM,17
1908,HH 1021.008 RUB INV.TULE10-60,65
1909,HH 1021.010 RUB INVTULE 12-80,54
1910,HH 1042.705 BEV.MUUR 85X23,3
1913,HH 1015.912 AANSL KLEM 1X95 M8,40
1914,HH 1015.913 AANSL KLEM 1X185,44
1915,HH 1015.914 AANSL KLEM 3X95,22
1920,RAILKOPER VERN 15X8MM,29
19201,RAILKOPER VERN 20X5MM,0
1921,HH1042253 OPVULSTRIP 20X45,4
1922,HH1021006 INV TULE PG21 E 62B,33
1923,HH1021007 INV TULE PG29 E62C,30
1924,HH1860736 EINDKAP UR403/4 15X4,45
1925,HH1860737 EINDKAP UR403/8 15X8,41
1926,HH1860738 EINDK UR403/16 15X16,14
19261,HH1860739 EINDK UR403/24 15X24,58
1927,DINRAIL TS35/F5 GEPERF-OMEGA,23
19271,PRONUTEC OPB.KAST 1000X750,2
19272,PRONUTEC OPB.KAST 1000X1000,1
1931,SCHAKELKAST&SCHAKELAAR 400A,2
1933,HOOFDSCHAKELAAR 125A S5000,5
1934,HOOFDSCHAKELAAR 160A INBUS,20
1935,HOOFDSCHAKELAAR 160A S5000,23
1936,HOOFDSCHAKELAAR 250A,3
1937,HOOFDSCHAKELAAR 400A,10
1938,HOOFDSCHAKELAAR 630A,7
1939,HOOFDSCHAKELAAR 800A,4
1940,HOOFDSCHAKELAAR 1000A,4
1941,PANELHANDLE 40A - 250A-DS-SA01,27
1942,DIRECT HANDEL 40A T/M 250A-CD,25
1943,DIRECT HANDLE 250A T/M 400A-CD,13
1944,PANEL HANDEL 250A T/M 400A-CD,8
1945,DIRECT HANDLE 400A T/M 800A-CD,6
1946,PANELHANDEL 500A 800A- DCCLA21,23
1947,EXTENDEDSHAFT 40A-250A L=187MM,24
1949,EXTENDEDSHAFT 250A-400A L=340,5
1950,DIRECT HANDLE 800A-1000A-CD,9
1951,PANELHANDEL 800A-1250A-DS-LA31,8
1952,EXTENDEDSHAFT 800A-1000A L=299,2
1954,OMSCHAKELAAR 63A 3P+N,16
1955,OMSCHAKELAAR 80A 3P+N,16
1957,OMSCHAKELAAR 160A 3P,4
1958,OMSCHAKELAAR 250A 3P+N,7
1959,OMSCHAKELAAR 400A 3P+N,12
1960,OMSCHAKELAAR 630A 3P+N,2
1961,DINRAIL KIT VOOR OMSCH 40A/16A,34
1962,DIRECT HANDLE 40A-200A-CD,10
1963,DIRECT HANDLE 200A-400A OMKEER,12
1964,DIRECT HANDLE 630A-800A OMKEER,24
1965,DOORVERBINDINGSET 40A T/M 80A,3
1966,DOORVERBINDINGSET 125AT/M200A,4
1967,EXTENDEDSHAFT 200A-1250A L=414,6
1968,SCHAKELAAR MESPATR INB 125A,7
1969,SCHAKELAAR MESPATR INB 160A,2
1970,SCHAKELAAR MESPATR INB 250A,5
1971,SCHAKELAAR MESPATR INB 400A,3
1972,SCHAKELAAR MESPATR INB 630A,4
1973,DIRECT HANDLE 125A-160A-M11,26
1974,DIRECT HANDLE 250A-630A-M21,3
1975,PANELHANDEL 125A-160A- DCELAB1,5
1976,PANEL HANDEL 250A-400A-M21,9
1977,PANEL HANDEL 630A-M21,1
1978,EXTENDEDSHAFT 40A-250A L=347MM,4
1979,EXTENDED SHAFT 250A-630A M21,3
1980,EXTENDED SHAFT 630A M21,2
1985,MESPATROON HOUDER 160 A-NH-00,36
1987,MESPATROON HOUDER 250 A-NH-1,1
1988,MESPATROON HOUDER 400 A-NH-2,22
1989,NEUTRAL BASES 250A-400A,4
1991,SCHAKELKAST MESPATROON 250A,4
1992,SCHAKELKAST MESPATROON 400A,5
1993,SCHAKELKAST MESPATROON 630A,6
1995,OMSCHAKELAAR 160A 3P+N,7
1997,HOOFDSCHAKELAAR 1250A 3P+N,1
2006,SCHIJDER NH 00 SPECIAL,100
