counter_name,deposit_id,rack_id,count_date,codeitem,Referencia,boxqty,boxunitqty,boxunittotal,magazijn,winkel,total
VICTORIA,1,16,26-01-2026,4040,SINGLE POLE SWITCH 37011 OPB  ,2,100,200,1,0,201
VICTORIA,1,16,26-01-2026,4042,TWO-WAY SWITCH 37071 OPB      ,24,1,24,0,0,24
VICTORIA,1,16,26-01-2026,4041,TWO CIRCUITS SWITCH 37061 OPB ,31,1,31,0,0,31
VICTORIA,1,16,26-01-2026,4043,DOUBLE 2-WAY SWITCH  37101 OPB,15,1,15,0,0,15
VICTORIA,1,16,26-01-2026,4050,EARTH SOCKET  48131 OPB  WD   ,3,1,3,0,0,3
VICTORIA,1,16,26-01-2026,4046,SINGLE POLE SWITCH 48011 OP WD,11,1,11,0,0,11
VICTORIA,1,16,26-01-2026,4049,TWO WAY SWITCH 48071 OPB WD   ,7,1,7,0,0,7
VICTORIA,1,16,26-01-2026,4047,TWO POLE SWITCH 48021 WD OPB  ,7,1,7,0,0,7
VICTORIA,1,16,26-01-2026,4048,2 CIRCUITS SWITCH 48061 OPB WD,9,1,9,0,0,9
VICTORIA,1,16,26-01-2026,4024,COV PL SCHUK SOCKET IP44 70634,12,1,12,0,0,12
VICTORIA,1,16,26-01-2026,4035,WATERPROOF FRAME IP 44  70961 ,4,1,4,0,0,4
VICTORIA,1,27,26-01-2026,4106,COVER PLATE - TELEPHONE 90712 ,0,1,0,0,0,0
VICTORIA,1,27,26-01-2026,4145,COV PLATE  TELEPHONE 90712 TPM,10,1,10,0,0,10
VICTORIA,1,27,26-01-2026,4105,COVER PLATE SINGLE RJ45 90751 ,0,1,0,0,0,0
VICTORIA,1,27,26-01-2026,4144,COV PLATE SINGLE RJ45 90751TPM,0,1,0,0,0,0
VICTORIA,1,27,26-01-2026,90106,COV PLATE SINGL RJ45 90751TAL ,4,1,4,0,0,4
VICTORIA,1,27,26-01-2026,4103,COVER PLATE  PULL CORD 90741  ,18,1,18,0,0,18
VICTORIA,1,27,26-01-2026,4112,DOUBLE HORIZONTAL FRAME 90920 ,0,1,0,0,0,0
VICTORIA,1,27,26-01-2026,4151,2 X HORIZONTAL FRAME 90920 TPM,0,1,0,0,0,0
VICTORIA,1,27,26-01-2026,90101,DOUBLE FRAME ALU 90920TAA     ,41,1,41,0,0,41
VICTORIA,1,27,26-01-2026,4109,COVER PLATE SCHUKO SOCKET90634,0,1,0,0,0,0
VICTORIA,1,27,26-01-2026,4148,COV PLATE SOCKET IP44 90634TPM,2,1,2,0,0,2
VICTORIA,1,27,26-01-2026,4116,WATERPROOF FRAME IP 44  90961 ,5,1,5,0,0,5
VICTORIA,1,27,26-01-2026,4119,SURFACE MOUNTINGBOX 10976 ABR ,4,1,4,0,0,4
VICTORIA,1,27,26-01-2026,4118,COVER PLATE  DBL USB CHA90673 ,0,1,0,0,0,0
VICTORIA,1,27,26-01-2026,4156,COV PLATE FOR USB 90673 TPM   ,24,1,24,0,0,24
VICTORIA,1,27,26-01-2026,8021,CMH100/TT/UVC/730/E40 SKU 7739,3,1,3,0,0,3
VICTORIA,1,27,26-01-2026,15142,OPBOUW KAST WD CSG13PT/RR     ,6,1,6,0,0,6
VICTORIA,1,27,26-01-2026,3997,SPEED CONTROLLER 21219        ,13,1,13,0,0,13
VICTORIA,1,28,26-01-2026,4209,KABELGOOT 75X20MM 10140 CBR   ,6,1,6,11,0,17
VICTORIA,1,28,26-01-2026,4212,KABELGOOT 90X50MM 10180 RBR   ,1,1,1,0,0,1
VICTORIA,1,28,26-01-2026,4213,KABELGOOT 180X50MM 10290 RBR  ,13,1,13,0,0,13
VICTORIA,1,28,26-01-2026,4260,VERLENG 110X50MM 10094 RBR    ,0,1,0,13,0,13
VICTORIA,1,28,26-01-2026,1496,OPBOUW KAST 2 MOD 610090      ,0,1,0,0,0,0
VICTORIA,1,28,26-01-2026,4211,KABELGOOT 110X50MM 10090RBR   ,2,1,2,0,0,2
VICTORIA,1,28,26-01-2026,4210,KABELGOOT 110X34MM 10080 RBR  ,5,1,5,0,0,5
VICTORIA,1,28,26-01-2026,4201,KABELGOOT 16X10MM 10020 FBR   ,1,1,1,56,0,57
VICTORIA,1,28,26-01-2026,4207,KABELGOOT 50X20MM 10500 CBR   ,2,1,2,6,0,8
VICTORIA,1,28,26-01-2026,0288,KABELGOOT 70x40 mm            ,5,1,5,4,0,9
VICTORIA,1,28,26-01-2026,0291,KABELGOOT  DEKSEL70x40 mm     ,5,1,5,4,0,9
VICTORIA,1,28,26-01-2026,0289,KABELGOOT 70x60 mm            ,7,1,7,0,0,7
VICTORIA,1,28,26-01-2026,0292,KABELGOOT DEKSEL 70x60 mm     ,6,1,6,10,0,16
VICTORIA,1,28,26-01-2026,0278,KABELGOOT 100x40 mm           ,0,1,0,4,0,4
VICTORIA,1,28,26-01-2026,0290,KABELGOOT 100x60 mm           ,2,1,2,1,0,3
VICTORIA,1,28,26-01-2026,0293,KABELGOOT DEKSEL 100x60 mm    ,13,1,13,3,0,16
VICTORIA,1,28,26-01-2026,4200,KABELGOOT 12x7MM 10010 FBR    ,3,1,3,0,0,3
VICTORIA,1,28,26-01-2026,0285,KABELGOOT 10x8 mm             ,0,1,0,113,0,113
VICTORIA,1,28,26-01-2026,0284,KABELGOOT 60x40 mm            ,0,1,0,1,0,1
VICTORIA,1,28,26-01-2026,4201,KABELGOOT 16X10MM 10020 FBR   ,2,1,2,38,0,40
VICTORIA,1,28,26-01-2026,0201,KABEL YMvK 3G2.5mm rol/100mtr ,11,1,11,0,0,11
VICTORIA,1,1,26-01-2026,3319,PICKENS RFTL 100W 6500K UFO   ,16,1,16,3,0,19
VICTORIA,1,1,26-01-2026,0201,KABEL YMvK 3G2.5mm rol/100mtr ,0,0,0,0,0,0
VICTORIA,1,17,23-01-2026,4001,TWO POLE SWITCH 21021         ,32,1,32,0,0,32
VICTORIA,1,17,23-01-2026,4000,SINGEL POLE SWITCH 21011      ,18,1,18,0,0,18
VICTORIA,1,17,23-01-2026,4002,TWO CIRCUITS SWITCH 21061     ,17,1,17,0,0,17
VICTORIA,1,17,23-01-2026,4250,VLAKHOEK 180X50MM  10293  RBR ,2,1,2,0,0,2
VICTORIA,1,17,23-01-2026,4017,ROCKER FOR SWITCHES 70601     ,8,100,800,0,0,800
VICTORIA,1,17,23-01-2026,4018,DOUBLE ROCKERS 70611          ,2,100,200,0,0,200
VICTORIA,1,17,23-01-2026,4003,THREE CIRCUITS SWITCH 21088   ,5,1,5,0,0,5
VICTORIA,1,17,23-01-2026,4019,TRIPLE ROCKERS 70661          ,16,1,16,0,0,16
VICTORIA,1,17,23-01-2026,4005,DOUBLE TWO WAY SWITCH 21101   ,11,1,11,0,0,11
VICTORIA,1,17,23-01-2026,4058,COVER PLATE DBL USB CHAR 70673,20,1,20,0,0,20
VICTORIA,1,17,23-01-2026,3998,ELECTRONIC DIMMER 150W 21215-1,5,1,5,0,0,5
VICTORIA,1,17,23-01-2026,4013,RJ 45 CAT6 UTP CONNECTOR 21978,1,1,1,2,0,3
VICTORIA,1,17,23-01-2026,4037,COVER PLATE MOTION  70401 TBR ,22,1,22,0,0,22
VICTORIA,1,17,23-01-2026,4030, SURFACE MOUNTING BOX 10975   ,8,1,8,0,0,8
VICTORIA,1,20,23-01-2026,4023, COV PL  EARTH SOCK USA 70843 ,25,1,25,0,0,25
VICTORIA,1,20,23-01-2026,4028,BLIND COVER PLATE 70677       ,40,1,40,0,0,40
VICTORIA,1,20,23-01-2026,4009,EARTH SOCKET ( USA TYPE) 21143,12,1,12,0,0,12
VICTORIA,1,20,23-01-2026,4021,COVER PLATE  DIMMER 70721     ,19,1,19,0,0,19
VICTORIA,1,20,23-01-2026,4020,COV PLATE  PULL CORD 70741    ,11,1,11,0,0,11
VICTORIA,1,20,23-01-2026,4012,RJ 45 CAT 5 E UTP SOCKET 21453,10,1,10,0,0,10
VICTORIA,1,20,23-01-2026,4011,RJ 45 CAT 6 UTP  SOCKET 21455 ,5,1,5,0,0,5
VICTORIA,1,20,23-01-2026,4025,COVER PLATE  SINGLE RJ45 70751,6,1,6,0,0,6
VICTORIA,1,20,23-01-2026,4015,TELEPHONE SOCKET 21252        ,10,1,10,0,0,10
VICTORIA,1,20,23-01-2026,4027,COVER PLATE  TELEPHONE 70712  ,4,1,4,0,0,4
VICTORIA,1,20,23-01-2026,4026,COVER RING WITH DOUBLE 70442  ,65,1,65,0,0,65
VICTORIA,1,20,23-01-2026,4031,SINGLE FRAME 70910            ,2,100,200,0,0,200
VICTORIA,1,20,23-01-2026,4032,DOUBLE HORIZONTAL FRAME 70921 ,13,1,13,0,0,13
VICTORIA,1,20,23-01-2026,4033,TRIPLE HORIZONTAL FRAME 70931 ,36,1,36,0,0,36
VICTORIA,1,20,23-01-2026,4034,4- GANG HORIZONTAL FRAME 70941,79,1,79,0,0,79
VICTORIA,1,20,23-01-2026,4011,RJ 45 CAT 6 UTP  SOCKET 21455 ,2,100,200,0,0,200
