item,count_date,item_description,total
0101,2026-02-09,VD DRAAD 1.5 mm  ZWART,2200
0101,2026-02-16,VD DRAAD 1.5 mm  ZWART,29100
0102,2026-02-09,VD DRAAD 2.5 mm  BRUIN,2000
0102,2026-02-16,VD DRAAD 2.5 mm  BRUIN,426
0103,2026-02-09,VD DRAAD 2.5 mm  BLAUW,1800
0103,2026-02-16,VD DRAAD 2.5 mm  BLAUW,489
0104,2026-01-26,VD DRAAD 2.5 mm  GR/GL,280
0104,2026-02-09,VD DRAAD 2.5 mm  GR/GL,2000
0107,2026-02-05,VD DRAAD  4  mm  GL/GR,200
0108,2026-02-05,VD DRAAD  6  mm  ZWART,300
0109,2026-02-05,VD DRAAD  6  mm  BLAUW,500
0110,2026-02-05,VD DRAAD  6  mm  GR/GL,300
0111,2026-02-05,VD DRAAD 10  mm  ZWART,100
0112,2026-02-05,VD DRAAD 10  mm  BLAUW,100
0115,2026-02-05,VD DRAAD 16  mm  BLAUW,400
0116,2026-02-05,VD DRAAD 16  mm  GR/GL,100
0117,2026-02-04,VD DRAAD 25  mm  ZWART,100
0117,2026-02-05,VD DRAAD 25  mm  ZWART,600
0118,2026-02-05,VD DRAAD 25  mm  BLAUW,600
0119,2026-02-05,VD DRAAD 25  mm  GR/GL,100
0130,2026-02-05,VDS DRAAD FLEX  1.5mm ZWART,400
0131,2026-02-05,VDS DRAAD FLEX  1.5 mm BLAUW,100
0132,2026-02-04,VDS DRAAD FLEX  1.5 mm GR/GL,400
0137,2026-02-04,VDS DRAAD FLEX 10 mm ZWART,200
0138,2026-02-04,VDS DRAAD FLEX 10 mm BLAUW,700
0140,2026-02-04,VDS DRAAD FLEX 16 mm BLAUW,300
0141,2026-02-04,VDS DRAAD FLEX 16mm GR/GL,100
0142,2026-02-05,VDS DRAAD FLEX 25 mm ZWART,300
0143,2026-02-04,VDS DRAAD FLEX 25 mm BLAUW,100
0143,2026-02-04,VDS DRAAD FLEX 25 mm BLAUW,100
0144,2026-02-04,VDS DRAAD FLEX 25 mm GR/GL-K,100
0145,2026-02-05,VDS DRAAD FLEX 35 mm ZWART,200
0146,2026-02-05,VDS DRAAD FLEX 35 mm BLAUW,200
0147,2026-02-04,VDS DRAAD FLEX 35 mm GR/GL,100
0148,2026-02-04,VDS DRAAD FLEX 50 mm ZWART,100
0148,2026-02-04,VDS DRAAD FLEX 50 mm ZWART,100
0149,2026-02-04,VDS DRAAD FLEX 2.5mm ZWART,300
0150,2026-02-04,VDS DRAAD FLEX 2.5mm BLAUW,300
0153,2026-02-05,VDS DRAAD FLEX 4mm BLAUW,800
0154,2026-02-05,VDS DRAAD FLEX 4mm GR/GL,1400
0155,2026-02-04,VDS DRAAD FLEX 2.5mm ROOD,300
0159,2026-02-04,VDS H07V-K FLEX 50 mm BLAUW,200
0201,2026-01-26,KABEL YMvK 3G2.5mm rol/100mtr,11
0245,2026-02-04,VMVL  H05 V V-F 2x0.75  mm,500
0247,2026-02-04,VMvL H05 V V-F 2x1.5   mm,400
0250,2026-01-02,VMvL H05 V V-F 4G2.5   mm,700
02501,2026-02-04,VMvL H05 V V-F 5G2.5   mm,500
0262,2026-02-05,COAX RG6 60% 18AWG,120
0278,2026-01-26,KABELGOOT 100x40 mm,4
0284,2026-01-26,KABELGOOT 60x40 mm,1
0285,2026-01-26,KABELGOOT 10x8 mm,113
0288,2026-01-26,KABELGOOT 70x40 mm,9
0289,2026-01-26,KABELGOOT 70x60 mm,84
0290,2026-01-26,KABELGOOT 100x60 mm,13
0291,2026-01-26,KABELGOOT  DEKSEL70x40 mm,94
0292,2026-01-26,KABELGOOT DEKSEL 70x60 mm,82
0293,2026-01-26,KABELGOOT DEKSEL 100x60 mm,81
0299,2026-02-09,WIJMAPLAST 100 gram,15
0300,2026-02-06,PVC-LIJM 250 ml,11
0300,2026-02-09,PVC-LIJM 250 ml,18
0305,2026-02-09,HOSTALIT MOF 5/8 Grijs,324
0305,2026-02-16,HOSTALIT MOF 5/8 Grijs,400
0306,2026-02-02,FLEXIBELE BUIS 5/8,5
0307,2026-02-02,FLEXIBELE BUIS 3/4,10
0310,2026-01-02,FLEXIBELE BUIS 1DUIM,16
0311,2026-01-02,"MOFFEN   5/8""",8000
0311,2026-02-06,"MOFFEN   5/8""",495
0311,2026-02-16,"MOFFEN   5/8""",8000
0311,2026-02-16,"MOFFEN   5/8""",9600
0312,2026-02-06,"MOFFEN   3/4""",97
0312,2026-02-16,"MOFFEN   3/4""",400
0313,2026-02-06,"MOFFEN   1""",127
0313,2026-02-16,"MOFFEN   1""",400
0314,2026-02-06,"MOFFEN 1,5""",21
0314,2026-02-16,"MOFFEN 1,5""",3200
0314,2026-02-16,"MOFFEN 1,5""",96
0315,2026-02-06,MOFFEN 2'',18
0315,2026-02-16,MOFFEN 2'',192
0316,2026-02-09,"BOCHT 1""",55
0316,2026-02-16,"BOCHT 1""",300
0317,2026-02-09,"BOCHT 1,5""",22
0317,2026-02-16,"BOCHT 1,5""",100
0318,2026-02-09,"BOCHT 2""",12
0318,2026-02-16,"BOCHT 2""",90
0318,2026-02-16,"BOCHT 2""",100
0319,2026-02-09,"BUISBEVESTIGING 2"" POLFIX",4
0319,2026-02-16,"BUISBEVESTIGING 2"" POLFIX",700
0320,2026-02-09,"BUISBEVESTIGING 5/8""POLFIX",1058
0320,2026-02-16,"BUISBEVESTIGING 5/8""POLFIX",7200
0321,2026-02-09,"BUISBEVESTIGING 3/4""POLFIX",772
0321,2026-02-16,"BUISBEVESTIGING 3/4""POLFIX",1600
0322,2026-02-09,"BUISBEVESTIGING 1.5"" POLFIX",50
0322,2026-02-16,"BUISBEVESTIGING 1.5"" POLFIX",200
0323,2026-02-09,"BUISBEVESTIGING 1"" POLFIX",74
0323,2026-02-16,"BUISBEVESTIGING 1"" POLFIX",600
0324,2026-02-09,BOCHT PVC  5/8 CRÈME,75
0324,2026-02-16,BOCHT PVC  5/8 CRÈME,150
0325,2026-02-09,BOCHT PVC  3/4 CRÈME,85
0325,2026-02-16,BOCHT PVC  3/4 CRÈME,375
0326,2026-02-09,"POLFIX 5/8"" SLAGVAST GRIJS",52
0326,2026-02-16,"POLFIX 5/8"" SLAGVAST GRIJS",450
0327,2026-02-09,"POLFIX 3/4"" SLAGVAST GRIJS",447
0331,2026-02-06,CADDY KAB-CLIPS 2 -4mm 15-18,45
0331,2026-02-16,CADDY KAB-CLIPS 2 -4mm 15-18,500
0332,2026-02-03,CADDY KAB-CLIPS 2- 4mm 19-24,2000
0332,2026-02-06,CADDY KAB-CLIPS 2- 4mm 19-24,233
0332,2026-02-16,CADDY KAB-CLIPS 2- 4mm 19-24,1100
0333,2026-02-06,CADDY KAB-CLIPS 4 -7mm 15-18,112
0333,2026-02-16,CADDY KAB-CLIPS 4 -7mm 15-18,2000
0334,2026-02-06,CADDY KAB-CLIPS 4 -7mm 19-24,299
0334,2026-02-16,CADDY KAB-CLIPS 4 -7mm 19-24,2600
0335,2026-02-06,CADDY KAB-CLIPS 8-12mm 15-18,6
0335,2026-02-16,CADDY KAB-CLIPS 8-12mm 15-18,1100
0335,2026-02-16,CADDY KAB-CLIPS 8-12mm 15-18,2000
0336,2026-02-06,CADDY KAB-CLIPS 8-12mm 19-24,232
0336,2026-02-16,CADDY KAB-CLIPS 8-12mm 19-24,1800
0340,2026-02-09,"ZADELS 5/8"" - 15-16mm gemenied",525
0340,2026-02-16,"ZADELS 5/8"" - 15-16mm gemenied",23000
0341,2026-02-03,"ZADELS 3/4"" 19-20mm roodgemeni",25550
0341,2026-02-09,"ZADELS 3/4"" 19-20mm roodgemeni",511
0342,2026-02-09,"ZADELS 2x5/8""",178
0342,2026-02-16,"ZADELS 2x5/8""",1500
0343,2026-02-05,"ZADELS 3x5/8""",3500
0343,2026-02-09,"ZADELS 3x5/8""",127
0344,2026-02-05,"ZADELS 4x5/8""",3200
0344,2026-02-05,"ZADELS 4x5/8""",1050
0344,2026-02-09,"ZADELS 4x5/8""",171
0345,2026-02-09,ZADELS 9-10 mm VERT,492
0345,2026-02-16,ZADELS 9-10 mm VERT,13500
0346,2026-02-09,ZADELS 11- 12 mm VERT,172
0346,2026-02-16,ZADELS 11- 12 mm VERT,13500
0347,2026-02-09,ZADELS 12 mm VERT,64
0348,2026-02-05,ZADELS 13 mm VERT,1500
0349,2026-02-05,ZADELS 14 mm VERT,10000
0349,2026-02-09,ZADELS 14 mm VERT,12
0349,2026-02-16,ZADELS 14 mm VERT,2000
0352,2026-02-09,BC  ZADEL  2.5mm ZINC,1036
0353,2026-02-09,ZADELS ROOD 25mm (1duim),122
0353,2026-02-16,ZADELS ROOD 25mm (1duim),3150
0354,2026-02-09,ZADELS ROOD 38mm (1½duim),50
0355,2026-02-09,ZADELS ROOD 50mm (2 duim),104
0355,2026-02-16,ZADELS ROOD 50mm (2 duim),600
0360,2026-02-06,CABLE CLIPS  5-7mm,200
0361,2026-02-05,CABLE CLIPS   4  mm,45000
0361,2026-02-06,CABLE CLIPS   4  mm,222
0362,2026-02-05,CABLE CLIPS   5  mm,29500
0362,2026-02-06,CABLE CLIPS   5  mm,105
0363,2026-02-04,CABLE CLIPS   6  mm,6500
0363,2026-02-05,CABLE CLIPS   6  mm,60000
0363,2026-02-06,CABLE CLIPS   6  mm,182
0364,2026-02-05,CABLE CLIPS   7  mm,10100
0365,2026-02-05,CABLE CLIPS   8  mm,18000
0366,2026-02-05,CABLE CLIPS   9  mm,18000
0366,2026-02-06,CABLE CLIPS   9  mm,300
0367,2026-02-05,CABLE CLIPS  10  mm,9700
0367,2026-02-06,CABLE CLIPS  10  mm,50
0368,2026-02-05,CABLE CLIPS  11  mm,4500
0368,2026-02-06,CABLE CLIPS  11  mm,46
0369,2026-02-09,CABLE CLIPS  12  mm,3700
0370,2026-02-06,CABLE CLIPS  16  mm,36
0372,2026-02-06,CABLE CLIPS  20  mm,75
0373,2026-02-05,CABLE CLIPS   11 - 15  mm,2400
0380,2026-02-04,TYRAPS  95x2.5,6600
0382,2026-02-09,TYRAPS BRN 200 X 2.5,800
0383,2026-02-09,TYRAPS  BRN 250 X 4.8,10000
0383,2026-02-09,TYRAPS  BRN 250 X 4.8,10000
0385,2026-02-09,TYRAPS  BRN 250 X 7.6,700
0386,2026-02-09,TYRAPS BRN 380 X 7.6,58
0387,2026-02-09,TYRAPS BRN 370 X4.8,4800
0388,2026-02-09,TYRAPS  BRN 280 X 4.5,21700
0389,2026-02-09,TYRAPS BRN 390 X 4.8,7000
0390,2026-01-30,MONTAGEBAND 12mm,130
0390,2026-02-09,MONTAGEBAND 12mm,8
0391,2026-01-30,MONTAGEBAND 17mm,120
0391,2026-02-09,MONTAGEBAND 17mm,4
0401,2026-02-09,KABEL EINDHULSJES  6 mm,985
0402,2026-02-09,KABEL EINDHULSJES 10 mm,300
0403,2026-02-09,KABEL EINDHULSJES 16 mm,100
0404,2026-02-09,KABEL EINDHULSJES 25 mm,677
0408,2026-01-30,KABEL EINDHULS 2x4mm ISOLEERT,1600
0409,2026-02-05,PERSKABELSCHOEN 2.5 mm  M6,2000
0409,2026-02-09,PERSKABELSCHOEN 2.5 mm  M6,93
0411,2026-02-05,PERSKABELSCHOEN  6  mm  M6,4500
0411,2026-02-09,PERSKABELSCHOEN  6  mm  M6,129
0412,2026-02-05,PERSKABELSCHOEN 10  mm  M6,2000
0413,2026-02-05,PERSKABELSCHOEN 16  mm  M8,1800
0413,2026-02-09,PERSKABELSCHOEN 16  mm  M8,63
0414,2026-02-05,PERSKABELSCHOEN 25  mm  M8,900
0414,2026-02-09,PERSKABELSCHOEN 25  mm  M8,45
0416,2026-02-09,PERSKABELSCHOEN 50  mm  M10,142
0416,2026-02-16,PERSKABELSCHOEN 50  mm  M10,640
0418,2026-02-09,PERSKABELSCHOEN 95  mm  M12,47
0419,2026-02-09,PERSKABELSCHOEN 120 mm  M12,11
0419,2026-02-16,PERSKABELSCHOEN 120 mm  M12,240
0421,2026-02-09,PERSKABELSCHOEN  240 mm M12,6
0421,2026-02-16,PERSKABELSCHOEN  240 mm M12,9
0421,2026-02-16,PERSKABELSCHOEN  240 mm M12,10
0424,2026-02-04,VERBINDINGSBUS  2.5 mm,3500
0424,2026-02-04,VERBINDINGSBUS  2.5 mm,200
0424,2026-02-09,VERBINDINGSBUS  2.5 mm,43
0425,2026-02-04,VERBINDINGSBUS  4 mm,1600
0425,2026-02-04,VERBINDINGSBUS  4 mm,600
0425,2026-02-09,VERBINDINGSBUS  4 mm,4
0426,2026-02-04,VERBINDINGSBUS  6 mm,1300
0426,2026-02-04,VERBINDINGSBUS  6 mm,1100
0426,2026-02-09,VERBINDINGSBUS  6 mm,76
0427,2026-02-04,VERBINDINGSBUS 10 mm,2400
0427,2026-02-04,VERBINDINGSBUS 10 mm,500
0427,2026-02-09,VERBINDINGSBUS 10 mm,537
0428,2026-02-04,VERBINDINGSBUS 16 mm,200
0428,2026-02-04,VERBINDINGSBUS 16 mm,200
0428,2026-02-09,VERBINDINGSBUS 16 mm,49
0429,2026-02-04,VERBINDINGSBUS 25 mm,1600
0429,2026-02-04,VERBINDINGSBUS 25 mm,350
0429,2026-02-09,VERBINDINGSBUS 25 mm,70
0430,2026-02-04,VERBINDINGSBUS 35 mm,750
0430,2026-02-04,VERBINDINGSBUS 35 mm,100
0430,2026-02-09,VERBINDINGSBUS 35 mm,49
0431,2026-02-04,VERBINDINGSBUS 50 mm,860
0431,2026-02-09,VERBINDINGSBUS 50 mm,20
0431,2026-02-09,VERBINDINGSBUS 50 mm,20
0432,2026-02-04,VERBINDINGSBUS 70 mm,140
0432,2026-02-09,VERBINDINGSBUS 70 mm,17
0432,2026-02-09,VERBINDINGSBUS 70 mm,28
0433,2026-02-04,VERBINDINGSBUS 95 mm,180
0433,2026-02-09,VERBINDINGSBUS 95 mm,17
04331,2026-02-04,VERBINDINGSBUS 120 mm,90
04331,2026-02-04,VERBINDINGSBUS 120 mm,70
04331,2026-02-09,VERBINDINGSBUS 120 mm,49
04332,2026-02-09,VERBINDINGSBUS 240 mm,6
0434,2026-02-05,PERSKABELSCHOEN  6  mm  M8,2600
0435,2026-02-05,PERSKABELSCHOEN  10  mm  M8,2400
0435,2026-02-09,PERSKABELSCHOEN  10  mm  M8,207
0436,2026-02-05,PERSKABELSCHOEN  10  mm  M10,1800
0436,2026-02-09,PERSKABELSCHOEN  10  mm  M10,341
0437,2026-02-05,PERSKABELSCHOEN  16  mm  M6,2400
0437,2026-02-09,PERSKABELSCHOEN  16  mm  M6,257
0438,2026-02-05,PERSKABELSCHOEN  16  mm  M10,1000
0438,2026-02-09,PERSKABELSCHOEN  16  mm  M10,51
0439,2026-02-05,PERSKABELSCHOEN  25  mm  M6,900
0439,2026-02-09,PERSKABELSCHOEN  25  mm  M6,198
0440,2026-02-05,PERSKABELSCHOEN  25  mm  M10,700
0441,2026-02-05,PERSKABELSCHOEN  25  mm  M12,850
0441,2026-02-09,PERSKABELSCHOEN  25  mm  M12,18
0442,2026-02-16,PERSKABELSCHOEN  35  mm  M10,600
0443,2026-02-09,PERSKABELSCHOEN  35  mm  M12,92
0443,2026-02-16,PERSKABELSCHOEN  35  mm  M12,250
0444,2026-02-09,PERSKABELSCHOEN  50  mm  M12,4
0444,2026-02-16,PERSKABELSCHOEN  50  mm  M12,640
0445,2026-02-09,PERSKABELSCHOEN  70  mm  M12,31
0445,2026-02-09,PERSKABELSCHOEN  70  mm  M12,465
0445,2026-02-16,PERSKABELSCHOEN  70  mm  M12,260
0446,2026-02-09,PERSKABELSCHOEN  95  mm  M10,72
0446,2026-02-16,PERSKABELSCHOEN  95  mm  M10,240
0447,2026-02-09,PERSKABELSCHOEN  120  mm  M10,9
0447,2026-02-16,PERSKABELSCHOEN  120  mm  M10,1200
0451,2026-02-09,PERSKABELSCHOEN  50  mm  M8,80
0451,2026-02-16,PERSKABELSCHOEN  50  mm  M8,180
0452,2026-02-09,PERSKABELSCHOEN  95  mm  M8,75
0452,2026-02-16,PERSKABELSCHOEN  95  mm  M8,320
0453,2026-02-09,PERSKABELSCHOEN  70  mm  M14,4
0455,2026-02-09,RAYTECH GIETMOF 95MM(A310),1
0456,2026-02-09,A310 BARNICOL GIETMOF CPL,5
0457,2026-02-09,A150 BARNICOL GIETMOF CPL,12
0460,2026-02-09,A370 BARNICOL GIETMOF CPL,8
0461,2026-02-09,A470 BARNICOL GIETMOF CPL,2
0462,2026-02-09,BARNICOL GIETHARS A,6
0463,2026-02-09,BARNICOL GIETHARS B,6
0464,2026-02-09,BARNICOL GIETHARS C,5
0467,2026-01-29,ATTEMA  GIETMOF PAKKET 2511,20
0467,2026-02-09,ATTEMA  GIETMOF PAKKET 2511,12
0468,2026-02-05,CP-10 PIN PERSKABELSCHOEN 10MM,700
0468,2026-02-09,CP-10 PIN PERSKABELSCHOEN 10MM,158
0469,2026-02-05,CP-16 PIN PERSKABELSCHOEN 16MM,500
0469,2026-02-09,CP-16 PIN PERSKABELSCHOEN 16MM,37
0470,2026-02-05,CP-25 PIN PERSKABELSCHOEN 25MM,200
0470,2026-02-09,CP-25 PIN PERSKABELSCHOEN 25MM,130
0471,2026-02-05,CP-35 PIN PERSKABELSCHOEN 35MM,100
0471,2026-02-09,CP-35 PIN PERSKABELSCHOEN 35MM,22
0472,2026-02-09,CP-50 PIN PERSKABELSCHOEN 50MM,28
0473,2026-02-09,PERSKABELSCHOEN SMALL 70-10MM,12
0474,2026-02-05,PERSKABELSCHOEN SMALL 95-10MM,120
0474,2026-02-09,PERSKABELSCHOEN SMALL 95-10MM,1
0476,2026-02-09,PERSKABELSCHOEN SMALL 240-10MM,3
0476,2026-02-16,PERSKABELSCHOEN SMALL 240-10MM,5
0477,2026-02-05,PERSKABELSCHOEN SMALL 240-12MM,45
0477,2026-02-09,PERSKABELSCHOEN SMALL 240-12MM,3
0480,2026-02-06,T-DOOS              4206-D,46
0480,2026-02-16,T-DOOS              4206-D,400
0481,2026-02-06,MIDDENDOOS DUBBEL 4207-D,40
0481,2026-02-16,MIDDENDOOS DUBBEL 4207-D,200
0482,2026-02-06,TOPDOOS DUBB RECHT 4208-D,15
0483,2026-02-06,TOPDOOS DUBB LINKS   4209-D,65
0484,2026-02-06,TOP T DOOS DUBB. R. 4210-D,27
0484,2026-02-16,TOP T DOOS DUBB. R. 4210-D,900
0485,2026-02-06,TOP T DOOS DUBB. L.  4211-D,3
0485,2026-02-16,TOP T DOOS DUBB. L.  4211-D,500
0485,2026-02-16,TOP T DOOS DUBB. L.  4211-D,400
0486,2026-02-06,KABELDOOS 220A,4
0486,2026-02-16,KABELDOOS 220A,290
0487,2026-02-16,KABELDOOS 222A,141
0488,2026-02-06,KABELDOOS 221A,1
0489,2026-02-16,KABELDOOS 223A,125
04891,2026-01-02,KABELDOOS J100S,82
04891,2026-02-16,KABELDOOS J100S,82
0490,2026-02-06,TREKDOOS                4202-D,53
0490,2026-02-16,TREKDOOS                4202-D,100
0490,2026-02-16,TREKDOOS                4202-D,200
0491,2026-02-02,KABELDOOS 225A,55
0492,2026-02-16,KABELDOOS 224A,28
0493,2026-01-29,KABELDOOS EP088 (18100),184
0493,2026-02-06,KABELDOOS EP088 (18100),22
0494,2026-01-29,KABELDOOS EV111(18300),214
0494,2026-02-06,KABELDOOS EV111(18300),9
04941,2026-02-16,KABEL DOOS EL161 (18800),44
04942,2026-02-16,KABEL DOOS EL171 (19150),75
04943,2026-02-02,KABEL DOOS EL322 (19750),12
04943,2026-02-16,KABEL DOOS EL322 (19750),30
04944,2026-02-16,KABEL DOOS GSLT171 (19805),12
04945,2026-02-16,KABEL DOOS GSLT231 (19905),6
04946,2026-02-06,KABEL DOOS GSLT322 (19965),1
04946,2026-02-16,KABEL DOOS GSLT322 (19965),21
0495,2026-02-06,EINDDOOS                4201-D,10
0499,2026-02-06,VERHOGINGSRING H251,50
0500,2026-02-06,DUBB INBOUWDOOS H251 ABB,16
0500,2026-02-16,DUBB INBOUWDOOS H251 ABB,250
0501,2026-02-06,LASDOOS TOP T DOOS L DUBB3211,170
0501,2026-02-16,LASDOOS TOP T DOOS L DUBB3211,500
0502,2026-02-06,LASDOOS TOP T  R DUBB 3210,169
0502,2026-02-16,LASDOOS TOP T  R DUBB 3210,300
0504,2026-02-16,LASDOOS VORK TOP LINKS 3209,120
0505,2026-02-06,CD/RV RONDE DEKSEL CENTRAL,85
0505,2026-02-16,CD/RV RONDE DEKSEL CENTRAL,150
0506,2026-02-09,AD/16-19 AFSLUITSTOPBUIS 16-19,179
0509,2026-02-16,LASD EIND ACHTER INV 2031 att,100
0510,2026-02-16,LASD TREK ACHTER INV 3222,667
0511,2026-02-06,PLAFONDDOOS 97371201 GRO-2 120,31
0511,2026-02-09,PLAFONDDOOS 97371201 GRO-2 120,4
0511,2026-02-16,PLAFONDDOOS 97371201 GRO-2 120,23
0513,2026-02-06,INBOUWDS HOLLEWAND 16/19,47
0513,2026-02-16,INBOUWDS HOLLEWAND 16/19,360
0514,2026-02-06,MONTAGEDEKSEL GRIJS 3640/D,5
0514,2026-02-16,MONTAGEDEKSEL GRIJS 3640/D,150
0515,2026-02-06,DEKSEL VOOR LASDOOS  3504,574
0517,2026-02-16,CENTR ZIJKANT BODEM 76.5MM 169,46
0518,2026-02-09,CENTRAALDOOS ROND 80MM C80,3
0518,2026-02-16,CENTRAALDOOS ROND 80MM C80,150
0518,2026-02-16,CENTRAALDOOS ROND 80MM C80,50
0519,2026-01-02,CENTRAALDOOS ROND 100MM C100,200
0519,2026-02-09,CENTRAALDOOS ROND 100MM C100,35
0520,2026-02-06,CENTRAALD 5/8 55mm ONG 165A,66
0520,2026-02-16,CENTRAALD 5/8 55mm ONG 165A,400
0521,2026-02-06,CENTRAALD 5/8 55mm GEL 165B,55
0521,2026-02-16,CENTRAALD 5/8 55mm GEL 165B,300
0524,2026-01-02,CENTRDOOS ROND 12X16/19/20MM,840
0524,2026-02-06,CENTRDOOS ROND 12X16/19/20MM,65
0524,2026-02-16,CENTRDOOS ROND 12X16/19/20MM,180
0525,2026-02-06,CENTRAALDOOS DEKSEL 3506,252
0525,2026-02-16,CENTRAALDOOS DEKSEL 3506,500
