location,item,item_description
Deposit N1 - A1,0201,KABEL YMvK 3G2.5mm rol/100mtr
Deposit N1 - A1,3229,TL-ORNEMENT LED 1x18W WD LEEG
Deposit N1 - A1,3319,PICKENS RFTL 100W 6500K UFO
Deposit N1 - A2,0103,VD DRAAD 2.5 mm  BLAUW
Deposit N1 - A3,0101,VD DRAAD 1.5 mm  ZWART
Deposit N1 - A3,3230,TL ORNEMENT LED 2X9W WD LEEG
Deposit N1 - A4,3231,TL ORNEMENT LED2X18W WD LEEG
Deposit N1 - A5,3225,TL-ORNEMENT 1x20W WD 127/220V
Deposit N1 - A5,3231,TL ORNEMENT LED2X18W WD LEEG
Deposit N1 - A5,3256,TL-BUIS LED 10W 6500K
Deposit N1 - A5,3258,LED TUBE 10W 4000K 60cm
Deposit N1 - A5,3275,LED TUBE T8 10W/865 1050l 6500
Deposit N1 - A5,3350,LEDPANEL 40W 2x2 CCT 120-277V
Deposit N1 - A6,0104,VD DRAAD 2.5 mm  GR/GL
Deposit N1 - B1,3210,TL-ORNEMENT 1x20W 127/220V
Deposit N1 - B1,3223,TL ORNEMENT LED 1X9W LEEG
Deposit N1 - B1,3229,TL-ORNEMENT LED 1x18W WD LEEG
Deposit N1 - B1,3253,TL- BUIS  32W DL T8
Deposit N1 - B2,3210,TL-ORNEMENT 1x20W 127/220V
Deposit N1 - B2,3224,TL ORNEMENT LED 1X18W LEEG
Deposit N1 - B2,3230,TL ORNEMENT LED 2X9W WD LEEG
Deposit N1 - B3,0102,VD DRAAD 2.5 mm  BRUIN
Deposit N1 - B3,1920,RAILKOPER VERN 15X8MM
Deposit N1 - B3,19201,RAILKOPER VERN 20X5MM
Deposit N1 - B3,3212,TL-ORNEMENT 2x40W 127V 50Hz
Deposit N1 - B3,4106,COVER PLATE - TELEPHONE 90712
Deposit N1 - B3,4117,COVER RING WITH DOUBLE 90442
Deposit N1 - B3,4140,ROCKER FOR SWITCHES 90601 TPM
Deposit N1 - B3,4141,DOUBLE ROCKERS 90611 TPM
Deposit N1 - B3,4142,TRIPLE ROCKERS 90661 TPM
Deposit N1 - B3,4143,COVER PLATE FOR DIMMER90721TPM
Deposit N1 - B3,4144,COV PLATE SINGLE RJ45 90751TPM
Deposit N1 - B3,4145,COV PLATE  TELEPHONE 90712 TPM
Deposit N1 - B3,4150,SINGLE FRAME 90910 TPM
Deposit N1 - B3,4151,2 X HORIZONTAL FRAME 90920 TPM
Deposit N1 - B3,4154,5 X HORIZONT FRAME 90950 TPM
Deposit N1 - B3,4155,COV RING WITH DOUBLE 90442 SPM
Deposit N1 - B3,4156,COV PLATE FOR USB 90673 TPM
Deposit N1 - B4,4024,COV PL SCHUK SOCKET IP44 70634
Deposit N1 - B4,4035,WATERPROOF FRAME IP 44  70961
Deposit N1 - B4,4040,SINGLE POLE SWITCH 37011 OPB
Deposit N1 - B4,4041,TWO CIRCUITS SWITCH 37061 OPB
Deposit N1 - B4,4042,TWO-WAY SWITCH 37071 OPB
Deposit N1 - B4,4043,DOUBLE 2-WAY SWITCH  37101 OPB
Deposit N1 - B4,4046,SINGLE POLE SWITCH 48011 OP WD
Deposit N1 - B4,4047,TWO POLE SWITCH 48021 WD OPB
Deposit N1 - B4,4048,2 CIRCUITS SWITCH 48061 OPB WD
Deposit N1 - B4,4049,TWO WAY SWITCH 48071 OPB WD
Deposit N1 - B4,4050,EARTH SOCKET  48131 OPB  WD
Deposit N1 - B5,3998,ELECTRONIC DIMMER 150W 21215-1
Deposit N1 - B5,4000,SINGEL POLE SWITCH 21011
Deposit N1 - B5,4001,TWO POLE SWITCH 21021
Deposit N1 - B5,4002,TWO CIRCUITS SWITCH 21061
Deposit N1 - B5,4003,THREE CIRCUITS SWITCH 21088
Deposit N1 - B5,4005,DOUBLE TWO WAY SWITCH 21101
Deposit N1 - B5,4013,RJ 45 CAT6 UTP CONNECTOR 21978
Deposit N1 - B5,4017,ROCKER FOR SWITCHES 70601
Deposit N1 - B5,4018,DOUBLE ROCKERS 70611
Deposit N1 - B5,4019,TRIPLE ROCKERS 70661
Deposit N1 - B5,4030,SURFACE MOUNTING BOX 10975
Deposit N1 - B5,4037,COVER PLATE MOTION  70401 TBR
Deposit N1 - B5,4058,COVER PLATE DBL USB CHAR 70673
Deposit N1 - B5,4250,VLAKHOEK 180X50MM  10293  RBR
Deposit N1 - B6,3031,TAPE 10 mtr ZWART
Deposit N1 - B6,3032,TAPE 10 mtr BLAUW
Deposit N1 - B6,3033,TAPE 10 mtr GR/GL
Deposit N1 - B6,3035,TAPE 20 mtr ZWART
Deposit N1 - B6,3036,TAPE 25 mtr BLAUW
Deposit N1 - B6,3228,TL-ORNEMENT LED 1x9W WD LEEG
Deposit N1 - B6,3230,TL ORNEMENT LED 2X9W WD LEEG
Deposit N1 - B6,4144,COV PLATE SINGLE RJ45 90751TPM
Deposit N1 - B6,4146,COV PLATE EARTH SOCKET90631TPM
Deposit N1 - B6,4146,COV PLATE EARTH SOCKET90631TPM
Deposit N1 - B6,4147,COVERPLATE EARTH 90843 USATPM
Deposit N1 - B6,4148,COV PLATE SOCKET IP44 90634TPM
Deposit N1 - B6,4149,BLIND COVER PLATE 90677 TPM
Deposit N1 - B6,4153,4 X  HORIZONT FRAME 90940 TPM
Deposit N1 - B6,4157,COVER PLATE MOTION  90401 TPM
Deposit N1 - B6,4216,T STUK 32X12.5MM  10401 ABR
Deposit N1 - B6,4218,T STUK 40X12.5MM  10051 ABR
Deposit N1 - B6,4221,T STUK 60X16MM     10071 ABR
Deposit N1 - B6,4224,T STUK 110X50MM   10091 RBR
Deposit N1 - B6,4225,T STUK 90X50MM     10181 RBR
Deposit N1 - B6,4230,BINNENHK 40X12.5MM 10052 ABR
Deposit N1 - B6,4231,BINNENHK 40X16MM 10062 ABR
Deposit N1 - B6,4234,BINNENHK 75X20MM  10142 ABR
Deposit N1 - B6,4239,VLAKHOEK 20X12.5MM  10033 ABR
Deposit N1 - B6,4240,VLAKHOEK 32X12.5MM  10403 ABR
Deposit N1 - B6,4241,VLAKHOEK 32X16MM  10043 ABR
Deposit N1 - B6,4243,VLAKHOEK 40X16MM  10063  ABR
Deposit N1 - B6,4247,VLAKHOEK 110X34MM  10083  RBR
Deposit N1 - B6,4248,VLAKHOEK 110X50MM  10093  RBR
Deposit N1 - B6,4250,VLAKHOEK 180X50MM  10293  RBR
Deposit N1 - B6,4252,VERLENG 32X12.5MM  10404 ABR
Deposit N1 - B6,4253,VERLENG 32X16MM  10044 ABR
Deposit N1 - B6,4254,VERLENG 40X12.5MM  10054  ABR
Deposit N1 - B6,4258,VERLENG 75X20MM   10144  ABR
Deposit N1 - B6,4260,VERLENG 110X50MM 10094 RBR
Deposit N1 - B6,4261,VERLENG 90X50MM  10184 RBR
Deposit N1 - B6,4264,EINDSTUK 32X12.5MM  10405 ABR
Deposit N1 - B6,4265,EINDSTUK 32X16MM   10045 ABR
Deposit N1 - B6,4274,EINDSTUK 180X50MM  10295  RBR
Deposit N1 - B6,4280,BUITENHK 50X20MM 10506 ABR
Deposit N1 - B6,4283,BUITENHK 110X34MM  10086 RBR
Deposit N1 - B6,4284,BUITENHK 110X50MM  10096  RBR
Deposit N1 - B6,4285,BUITENHK 90X50MM  10186  RBR
Deposit N1 - B7,3352,18W LED 1X1 5K OPB 100-277V
Deposit N1 - B7,4006,PULL-CORD PUSH BUTTON 21092
Deposit N1 - B7,4009,EARTH SOCKET ( USA TYPE) 21143
Deposit N1 - B7,4010,MONO DOUBLE EARTH SOCKET 70331
Deposit N1 - B7,4022,COV PL  EARTH SOCKET 70631
Deposit N1 - B7,4023,COV PL  EARTH SOCK USA 70843
Deposit N1 - B7,4029,IP 44 KIT MEC21 SINGLE 21981
Deposit N1 - B7,4034,4- GANG HORIZONTAL FRAME 70941
Deposit N1 - B7,4036,UNIVERSAL COVER RING 70881
Deposit N1 - B7,4036,UNIVERSAL COVER RING 70881
Deposit N1 - B7,4045,MOUNTINGBOX AMERICAN 10972 ABR
Deposit N1 - B7,4052,SAFETY EARTH SOCKET 45132SBR
Deposit N1 - B7,4053,SAFE EARTHSOCKET 127V 45144SBR
Deposit N1 - B7,4056,Face plate F/2 RJ Connector 2M
Deposit N1 - B7,4114,4 GANG HORIZONTAL FRAME 90940
Deposit N1 - B7,4121,SURFACE MOUNTINGBOX TRIPLE
Deposit N1 - B7,4215,T STUK 20X12.5MM  10031 ABR
Deposit N1 - B7,4219,T STUK 40X16MM     10061 ABR
Deposit N1 - B7,4220,T STUK 50X20MM     10501 ABR
Deposit N1 - B7,4222,T STUK 75X20MM     10141 ABR
Deposit N1 - B7,4223,T STUK 110X34MM   10081 RBR
Deposit N1 - B7,4227,BINNENHK 20X12.5MM 10032 ABR
Deposit N1 - B7,4228,BINNENHK 32X12.5MM 10402  ABR
Deposit N1 - B7,4229,BINNENHK 32X16MM 10042 ABR
Deposit N1 - B7,4232,BINNENHK 50X20MM  10502 ABR
Deposit N1 - B7,4233,BINNENHK 60X16MM  10072   ABR
Deposit N1 - B7,4235,BINNENHK 110X34MM  10082  RBR
Deposit N1 - B7,4236,BINNENHK 110X50MM  10092 RBR
Deposit N1 - B7,4238,BINNENHK 180X50MM  10292 RBR
Deposit N1 - B7,4242,VLAKHOEK 40X12.5MM 10053  ABR
Deposit N1 - B7,4244,VLAKHOEK 50X20MM  10503 ABR
Deposit N1 - B7,4244,VLAKHOEK 50X20MM  10503 ABR
Deposit N1 - B7,4245,VLAKHOEK 60X16MM  10073  ABR
Deposit N1 - B7,4246,VLAKHOEK 75X20MM 10143  ABR
Deposit N1 - B7,4248,VLAKHOEK 110X50MM  10093  RBR
Deposit N1 - B7,4249,VLAKHOEK 90X50MM    10183 RBR
Deposit N1 - B7,4249,VLAKHOEK 90X50MM    10183 RBR
Deposit N1 - B7,4250,VLAKHOEK 180X50MM  10293  RBR
Deposit N1 - B7,4251,VERLENG 20X12.5MM 10034 ABR
Deposit N1 - B7,4255,VERLENG 40X16MM  10064 ABR
Deposit N1 - B7,4257,VERLENG 60X16MM  0074  ABR
Deposit N1 - B7,4258,VERLENG 75X20MM   10144  ABR
Deposit N1 - B7,4259,VERLENG 110X34MM 10084 RBR
Deposit N1 - B7,4260,VERLENG 110X50MM 10094 RBR
Deposit N1 - B7,4261,VERLENG 90X50MM  10184 RBR
Deposit N1 - B7,4262,VERLENG 180X50MM 10294 RBR
Deposit N1 - B7,4262,VERLENG 180X50MM 10294 RBR
Deposit N1 - B7,4263,EINDSTUK 20X12.5MM 10035  ABR
Deposit N1 - B7,4266,EINDSTUK 40X12.5MM 10055  ABR
Deposit N1 - B7,4267,EINDSTUK 40X16MM  10065  ABR
Deposit N1 - B7,4268,EINDSTUK 50X20MM 10505  ABR
Deposit N1 - B7,4269,EINDSTUK 60X16MM  10075  ABR
Deposit N1 - B7,4270,EINDSTUK 75X20MM  10145 ABR
Deposit N1 - B7,4270,EINDSTUK 75X20MM  10145 ABR
Deposit N1 - B7,4271,EINDSTUK 110X34MM 10085  RBR
Deposit N1 - B7,4272,EINDSTUK 110X50MM 10095  RBR
Deposit N1 - B7,4275,BUITENHK 20X12.5MM 10036 ABR
Deposit N1 - B7,4276,BUITENHK 32X12.5MM 10406 ABR
Deposit N1 - B7,4277,BUITENHK 32X16MM 10046  ABR
Deposit N1 - B7,4278,BUITENHK 40X12.5MM 10056  ABR
Deposit N1 - B7,4279,BUITENHK 40X16MM  10066 ABR
Deposit N1 - B7,4281,BUITENHK 60X16MM  10076  ABR
Deposit N1 - B7,4282,BUITENHK 75X20MM  10146  ABR
Deposit N1 - B7,4282,BUITENHK 75X20MM  10146  ABR
Deposit N1 - B7,4285,BUITENHK 90X50MM  10186  RBR
Deposit N1 - B7,4286,BUITENHK 180X50MM 10296  RBR
Deposit N1 - B7,4287,Q45 MOD ADAPTER 2 MOD 10950ABR
Deposit N1 - B7,4288,Q45 MOD COV PL 2 MOD 10959 ABR
Deposit N1 - B7,4288,Q45 MOD COV PL 2 MOD 10959 ABR
Deposit N1 - B7,4289,Q45  ADAPTER 2 MOD 10986 ABR
Deposit N1 - B7,4290,Q45  ADAPTER 4 MOD 10952 ABR
Deposit N1 - B7,4290,Q45  ADAPTER 4 MOD 10952 ABR
Deposit N1 - B7,4291,Q45 ADAPTER 6 MOD 10954 ABR
Deposit N1 - B7,4292,FLUSH MOUNT BOX USA 10971 ABR
Deposit N1 - B7,90107,COV PLATE DIMM 2WAY SW90721TAL
Deposit N1 - B8,4007,DIMMER/ 2 WAY 320 WRC 21217
Deposit N1 - B8,4007,DIMMER/ 2 WAY 320 WRC 21217
Deposit N1 - B8,4009,EARTH SOCKET ( USA TYPE) 21143
Deposit N1 - B8,4011,RJ 45 CAT 6 UTP  SOCKET 21455
Deposit N1 - B8,4011,RJ 45 CAT 6 UTP  SOCKET 21455
Deposit N1 - B8,4012,RJ 45 CAT 5 E UTP SOCKET 21453
Deposit N1 - B8,4015,TELEPHONE SOCKET 21252
Deposit N1 - B8,4020,COV PLATE  PULL CORD 70741
Deposit N1 - B8,4021,COVER PLATE  DIMMER 70721
Deposit N1 - B8,4023,COV PL  EARTH SOCK USA 70843
Deposit N1 - B8,4025,COVER PLATE  SINGLE RJ45 70751
Deposit N1 - B8,4026,COVER RING WITH DOUBLE 70442
Deposit N1 - B8,4027,COVER PLATE  TELEPHONE 70712
Deposit N1 - B8,4028,BLIND COVER PLATE 70677
Deposit N1 - B8,4031,SINGLE FRAME 70910
Deposit N1 - B8,4032,DOUBLE HORIZONTAL FRAME 70921
Deposit N1 - B8,4033,TRIPLE HORIZONTAL FRAME 70931
Deposit N1 - B8,4034,4- GANG HORIZONTAL FRAME 70941
Deposit N1 - B9,3996,MOTION DETECTOR 21401
Deposit N1 - B9,4009,EARTH SOCKET ( USA TYPE) 21143
Deposit N1 - B9,4122,COVER PLATE MOTION  90401 TBR
Deposit N1 - C1,7130,HPS ARMATUUR 70W FML005
Deposit N1 - C1,7132,HPS ARMATUUR 250W FML006
Deposit N1 - C2,4100,ROCKER FOR SWITCHES 90601 TBR
Deposit N1 - C2,4101,DOUBLE ROCKERS 90611 TBR
Deposit N1 - C2,4102,TRIPLE ROCKERS 90661 TBR
Deposit N1 - C2,4104,COVER PLATE FOR DIMMER 90721 T
Deposit N1 - C2,4107,COVER PLATE- EARTH SOCKET90631
Deposit N1 - C2,4107,COVER PLATE- EARTH SOCKET90631
Deposit N1 - C2,4110,BLIND COVER PLATE 90677 TBR
Deposit N1 - C2,4111,SINGLE FRAME 90910 TBR
Deposit N1 - C2,4113,TRIPLE HORIZONTAL FRAME 90930
Deposit N1 - C2,4114,4 GANG HORIZONTAL FRAME 90940
Deposit N1 - C2,4117,COVER RING WITH DOUBLE 90442
Deposit N1 - C2,4146,COV PLATE EARTH SOCKET90631TPM
Deposit N1 - C3,15142,OPBOUW KAST WD CSG13PT/RR
Deposit N1 - C3,3997,SPEED CONTROLLER 21219
Deposit N1 - C3,4103,COVER PLATE  PULL CORD 90741
Deposit N1 - C3,4105,COVER PLATE SINGLE RJ45 90751
Deposit N1 - C3,4106,COVER PLATE - TELEPHONE 90712
Deposit N1 - C3,4109,COVER PLATE SCHUKO SOCKET90634
Deposit N1 - C3,4112,DOUBLE HORIZONTAL FRAME 90920
Deposit N1 - C3,4116,WATERPROOF FRAME IP 44  90961
Deposit N1 - C3,4118,COVER PLATE  DBL USB CHA90673
Deposit N1 - C3,4119,SURFACE MOUNTINGBOX 10976 ABR
Deposit N1 - C3,8021,CMH100/TT/UVC/730/E40 SKU 7739
Deposit N1 - C4,0201,KABEL YMvK 3G2.5mm rol/100mtr
Deposit N1 - C4,0278,KABELGOOT 100x40 mm
Deposit N1 - C4,0284,KABELGOOT 60x40 mm
Deposit N1 - C4,0285,KABELGOOT 10x8 mm
Deposit N1 - C4,0288,KABELGOOT 70x40 mm
Deposit N1 - C4,0289,KABELGOOT 70x60 mm
Deposit N1 - C4,0290,KABELGOOT 100x60 mm
Deposit N1 - C4,0291,KABELGOOT  DEKSEL70x40 mm
Deposit N1 - C4,0292,KABELGOOT DEKSEL 70x60 mm
Deposit N1 - C4,0293,KABELGOOT DEKSEL 100x60 mm
Deposit N1 - C4,4200,KABELGOOT 12x7MM 10010 FBR
Deposit N1 - C4,4201,KABELGOOT 16X10MM 10020 FBR
Deposit N1 - C4,4201,KABELGOOT 16X10MM 10020 FBR
Deposit N1 - C4,4207,KABELGOOT 50X20MM 10500 CBR
Deposit N1 - C4,4209,KABELGOOT 75X20MM 10140 CBR
Deposit N1 - C4,4210,KABELGOOT 110X34MM 10080 RBR
Deposit N1 - C4,4211,KABELGOOT 110X50MM 10090RBR
Deposit N1 - C4,4212,KABELGOOT 90X50MM 10180 RBR
Deposit N1 - C4,4213,KABELGOOT 180X50MM 10290 RBR
Deposit N1 - C4,4260,VERLENG 110X50MM 10094 RBR
Deposit N2 - A1,1506,OPBOUWKAST 2-RIJ 36PE 610285
Deposit N2 - A1,1511,INBOUWKAST 2-RIJ  28MOD 610373
Deposit N2 - A1,1611,OPB.KAST OLINTHOS 2RIJ 24 PE
Deposit N2 - A1,1612,OPB.KAST OLINTHOS 3RIJ 36 PE
Deposit N2 - A1,7193,INB.KAST MP14 METALBOX NG
Deposit N2 - A1,7195,INB.KAST MP42 METALBOX NG
Deposit N2 - A1,7196,INB.KAST MP56 METALBOX NG
Deposit N2 - A2,7144,OPB.KAST WD 6MD R1306BR1
Deposit N2 - A2,7148,OPB.KAST WD 8MD 1308BR1
Deposit N2 - A2,7168,OPB.KAST WD 36MD 1336PR1
Deposit N2 - A2,7194,INB.KAST MP28 METALBOX NG
Deposit N2 - A3,1507,OPBOUWKAST4-RIJ VA 424 T 48PE
Deposit N2 - A3,1657,MOELLER OPB BF-0-5/120
Deposit N2 - A3,1665,MOELLER INB BF-U-5/120
Deposit N2 - A3,7151,OPB.KAST 28MD 5281R1
Deposit N2 - A4,1664,MOELLER INB BF-U-4/96
Deposit N2 - A4,7147,OPB.KAST WD 48MD 1348R1
Deposit N2 - A4,7184,INB.KAST MP14 METALBOX
Deposit N2 - A4,7193,INB.KAST MP14 METALBOX NG
Deposit N2 - A5,1659,MOELLER OPB BF-0-3/72
Deposit N2 - A5,1985,MESPATROON HOUDER 160 A-NH-00
Deposit N2 - A5,1987,MESPATROON HOUDER 250 A-NH-1
Deposit N2 - A5,1988,MESPATROON HOUDER 400 A-NH-2
Deposit N2 - A6,1657,MOELLER OPB BF-0-5/120
Deposit N2 - A6,1658,MOELLER OPB BF-0-6/144
Deposit N2 - A6,1666,MOELLER INB BF-U-6/144
Deposit N2 - A6,7186,INB.KAST MP42 METALBOX
Deposit N2 - A6,7191,EARTH TERMINAL GREEN
Deposit N2 - A6,7195,INB.KAST MP42 METALBOX NG
Deposit N2 - B1,1709,ETI  AUTOMAAT6KA 6A 1P+N BKAR
Deposit N2 - B1,1710,ETI  AUTOMAAT6KA 16A 1P+N BKAR
Deposit N2 - B1,1711,ETI  AUTOMAAT6KA 16A 1P+N CKAR
Deposit N2 - B1,1711,ETI  AUTOMAAT6KA 16A 1P+N CKAR
Deposit N2 - B1,1712,ETI  AUTOMAAT6KA 20A 1P+N CKAR
Deposit N2 - B1,1713,ETI  AUTOMAAT6KA 25A 1P+N CKAR
Deposit N2 - B1,1715,ETI AUTOMAAT 6KA 1P+N 25A B
Deposit N2 - B1,1737,ETI AUTOMAAT 6KA 3P+N 6A BKAR
Deposit N2 - B1,1742,ETI  AUTOMAAT6KA 32A 1P+N CKAR
Deposit N2 - B1,1769,ETI  AUTOMAAT6KA B40 1P B KAR
Deposit N2 - B1,1937,HOOFDSCHAKELAAR 400A
Deposit N2 - B1,1954,OMSCHAKELAAR 63A 3P+N
Deposit N2 - B1,1958,OMSCHAKELAAR 250A 3P+N
Deposit N2 - B1,1972,SCHAKELAAR MESPATR INB 630A
Deposit N2 - B1,1995,OMSCHAKELAAR 160A 3P+N
Deposit N2 - B1,8031,"ETI aardleksch 40A 4P0,03 127V"
Deposit N2 - B2,1522,"GE AUTO 25A, 3P-2MOD C  UNIBIS"
Deposit N2 - B2,1523,"GE AUTO 25A, 4P-2MOD C  UNIBIS"
Deposit N2 - B2,1533,"GE SCHAKELAAR 125A, 4POL"
Deposit N2 - B2,1564,"GE  AUTOMAAT 32A, 3POL C-KAR"
Deposit N2 - B2,1565,"GE  AUTOMAAT 40A, 3POL C-KAR"
Deposit N2 - B2,1566,"GE AUTOMAAT 50A, 3POL C-KAR"
Deposit N2 - B2,1567,"GE  AUTOMAAT 63A, 3POL C-KAR"
Deposit N2 - B2,1569,"GE  AUTOMAAT 32A, 3P+N C-KAR"
Deposit N2 - B2,1570,"GE  AUTOMAAT 40A, 3P+N C-KAR"
Deposit N2 - B2,1571,"GE  AUTOMAAT 50A, 3P+N C-KAR"
Deposit N2 - B2,1574,"GE  AUTOMAAT 100A, 3P+N C KAR"
Deposit N2 - B2,1576,"GE  AUTOMAAT 16A, 3P+N C-KAR"
Deposit N2 - B2,1577,"GE  AUTOMAAT 20A, 3P+N C-KAR"
Deposit N2 - B2,1717,ETI AUTOMAAT 6KA 2P 16A B KAR
Deposit N2 - B2,1718,ETI AUTOMAAT 6KA 2P 20A CKAR
Deposit N2 - B2,1719,ETI AUTOMAAT 6KA 2P 25A CKAR
Deposit N2 - B2,1727,ETI AUTOMAAT 6KA 3P+N 16A BKAR
Deposit N2 - B2,1728,ETI AUTOMAAT 6KA 3P+N 16A CKAR
Deposit N2 - B2,1738,ETI AUTOMAAT 6KA 3P+N 6A CKAR
Deposit N2 - B2,1739,ETI AUTOMAAT 6KA 2P 32A CKAR
Deposit N2 - B2,1740,ETI AUTOMAAT 6KA 2P 40A CKAR
Deposit N2 - B2,1788,ETI  4804051 KWH METER 3X63A D
Deposit N2 - B2,7037,JVM 65-125 100A 3P+N C-TYPE
Deposit N2 - B2,7038,JVM 65-125 125A 3P+N C-TYPE
Deposit N2 - B3,1520,"GE AUTO 16A, 3P-2MOD C  UNIBIS"
Deposit N2 - B3,1521,"GE AUTO 20A, 3P-2MOD C  UNIBIS"
Deposit N2 - B3,1561,"GE  AUTOMAAT 16A, 3POL C-KAR"
Deposit N2 - B3,1562,"GE  AUTOMAAT 20A, 3POL C-KAR"
Deposit N2 - B3,1659,MOELLER OPB BF-0-3/72
Deposit N2 - B3,1699,ETI AFDEK STROOK 2911003
Deposit N2 - B3,1714,ETI  AUTOMAAT6KA 50A 1P+N CKAR
Deposit N2 - B3,1720,ETI AUTOMAAT 6KA 3P 16A CKAR
Deposit N2 - B3,1721,ETI AUTOMAAT 6KA 3P 20A C KAR
Deposit N2 - B3,1722,ETI AUTOMAAT 6KA 3P 25A C KAR
Deposit N2 - B3,1723,ETI AUTOMAAT 6KA 3P 32A C KAR
Deposit N2 - B3,1724,ETI AUTOMAAT 6KA 3P 40A CKAR
Deposit N2 - B3,1725,ETI AUTOMAAT 6KA 3P 50A CKAR
Deposit N2 - B3,1726,ETI AUTOMAAT 6KA 3P 63A CKAR
Deposit N2 - B3,1730,ETI AUTOMAAT 6KA 3P+N 32A CKAR
Deposit N2 - B3,1731,ETI AUTOMAAT 6KA 3P+N 40A CKAR
Deposit N2 - B3,1732,ETI AUTOMAAT 6KA 3P+N 50A CKAR
Deposit N2 - B3,1733,ETI AUTOMAAT 6KA 3P+N 63A CKAR
