location,item,item_description
Deposit N2 - B3,1931,SCHAKELKAST&SCHAKELAAR 400A
Deposit N2 - B3,1941,PANELHANDLE 40A - 250A-DS-SA01
Deposit N2 - B3,1942,DIRECT HANDEL 40A T/M 250A-CD
Deposit N2 - B3,1943,DIRECT HANDLE 250A T/M 400A-CD
Deposit N2 - B3,1943,DIRECT HANDLE 250A T/M 400A-CD
Deposit N2 - B3,1944,PANEL HANDEL 250A T/M 400A-CD
Deposit N2 - B3,1946,PANELHANDEL 500A 800A- DCCLA21
Deposit N2 - B3,1950,DIRECT HANDLE 800A-1000A-CD
Deposit N2 - B3,1951,PANELHANDEL 800A-1250A-DS-LA31
Deposit N2 - B3,1961,DINRAIL KIT VOOR OMSCH 40A/16A
Deposit N2 - B3,1962,DIRECT HANDLE 40A-200A-CD
Deposit N2 - B3,1964,DIRECT HANDLE 630A-800A OMKEER
Deposit N2 - B3,1965,DOORVERBINDINGSET 40A T/M 80A
Deposit N2 - B3,1966,DOORVERBINDINGSET 125AT/M200A
Deposit N2 - B3,1973,DIRECT HANDLE 125A-160A-M11
Deposit N2 - B3,1974,DIRECT HANDLE 250A-630A-M21
Deposit N2 - B3,2006,SCHIJDER NH 00 SPECIAL
Deposit N2 - B4,1933,HOOFDSCHAKELAAR 125A S5000
Deposit N2 - B4,1934,HOOFDSCHAKELAAR 160A INBUS
Deposit N2 - B4,1935,HOOFDSCHAKELAAR 160A S5000
Deposit N2 - B4,1936,HOOFDSCHAKELAAR 250A
Deposit N2 - B4,1937,HOOFDSCHAKELAAR 400A
Deposit N2 - B4,1938,HOOFDSCHAKELAAR 630A
Deposit N2 - B4,1939,HOOFDSCHAKELAAR 800A
Deposit N2 - B4,1940,HOOFDSCHAKELAAR 1000A
Deposit N2 - B4,1954,OMSCHAKELAAR 63A 3P+N
Deposit N2 - B4,1955,OMSCHAKELAAR 80A 3P+N
Deposit N2 - B4,1957,OMSCHAKELAAR 160A 3P
Deposit N2 - B4,1959,OMSCHAKELAAR 400A 3P+N
Deposit N2 - B4,1959,OMSCHAKELAAR 400A 3P+N
Deposit N2 - B4,1960,OMSCHAKELAAR 630A 3P+N
Deposit N2 - B4,1995,OMSCHAKELAAR 160A 3P+N
Deposit N2 - B5,1524,"GE AUTOMAAT 6A, 2P B  UNIBIS"
Deposit N2 - B5,1535,"GE AARDLEKSCHAKELAAR 63A, 30mA"
Deposit N2 - B5,1549,"GE  AUTOMAAT 16A, 2POL B-KAR"
Deposit N2 - B5,1550,"GE  AUTOMAAT 20A, 2POL B-KAR"
Deposit N2 - B5,1553,"GE  AUTOMAAT 25A, 1P+N B-KAR"
Deposit N2 - B5,1554,"GE  AUTOMAAT 16A, 1P+N C-KAR"
Deposit N2 - B5,1555,"GE  AUTOMAAT 20A, 1P+N C-KAR"
Deposit N2 - B5,1556,"GE  AUTOMAAT 32A, 1P+N C-KAR"
Deposit N2 - B5,15977,ROTARY HANDLE 730667
Deposit N2 - B5,15978,MANDO ROT 436476
Deposit N2 - B5,1700,ETI 2423423 SCHAKELAAR 4P 40A
Deposit N2 - B5,1701,ETI 2423414 SCHAKELAAR 4P 63A
Deposit N2 - B5,1702,ETI 2423415 SCHAKELAAR 4P 80A
Deposit N2 - B5,1703,ETI 2423416 SCHAKELAAR 4P 100A
Deposit N2 - B5,1704,ETI 2423417 SCHAKELAAR 4P 125A
Deposit N2 - B5,1750,ETI  MAGNEET SCHAKELAAR 2P 20A
Deposit N2 - B5,1751,ETI  MAGNEET SCHAKELAAR 4P 25A
Deposit N2 - B5,1752,ETI MAGNEET SCHAKELAAR 4P 40A
Deposit N2 - B5,1753,ETI  MAGNEET SCHAKELAAR 4P 63A
Deposit N2 - B5,1765,ETI AARDLEKSCH 4P 80A 30 mA
Deposit N2 - B5,1766,ETI AARDLEKSCH 4P 100A 30 mA
Deposit N2 - B5,1766,ETI AARDLEKSCH 4P 100A 30 mA
Deposit N2 - B5,1767,ETI AARDLEKSCH 4P 80A 300 MA
Deposit N2 - B5,1768,ETI AARDLEKSCH 4P 100A 300 MA
Deposit N2 - B5,1770,ETI AARDLEKSCH 4P 100A 100 mA
Deposit N2 - B5,1771,ETI 2444005 TNC-S 25/100 4+0
Deposit N2 - B5,1947,EXTENDEDSHAFT 40A-250A L=187MM
Deposit N2 - B5,1949,EXTENDEDSHAFT 250A-400A L=340
Deposit N2 - B5,1952,EXTENDEDSHAFT 800A-1000A L=299
Deposit N2 - B5,1967,EXTENDEDSHAFT 200A-1250A L=414
Deposit N2 - B5,1978,EXTENDEDSHAFT 40A-250A L=347MM
Deposit N2 - B5,1979,EXTENDED SHAFT 250A-630A M21
Deposit N2 - B5,1980,EXTENDED SHAFT 630A M21
Deposit N2 - B6,11481,INB.DOOS PLASTIC 4x4 WIT
Deposit N2 - B6,11482,DEKSEL DOOS PLASTIC 4x4 WIT
Deposit N2 - B6,1496,OPBOUW KAST 2 MOD 610090
Deposit N2 - B6,1497,OPBOUW KAST 4 MOD 610091
Deposit N2 - B6,1529,"GE SCHAKELAAR  80A, 4POL"
Deposit N2 - B6,1532,"GE SCHAKELAAR 100A, 4POL"
Deposit N2 - B6,1536,"GE AARDLEKSCHAKEL 40A, 300mA"
Deposit N2 - B6,15952,GE RELAY 4P 40 A
Deposit N2 - B6,1649,OPBOUWKAST IDE ARM.40COM72
Deposit N2 - B6,1705,ETI AARDLEKSCH 4P 40A 30 mA
Deposit N2 - B6,1706,ETI AARDLEKSCH 4P 63A 30 mA
Deposit N2 - B6,1707,ETI AARDLEKSCH 4P 40A 300mA
Deposit N2 - B6,1708,ETI AARDLEKSCH 4P 63A 300 mA
Deposit N2 - B6,1734,ETI AARDLEK AUTOM 1P+N16A B 30
Deposit N2 - B6,1736,ETI AUTOMAAT 6KA 3P+N 20A CKAR
Deposit N2 - B6,1741,ETI AUTOMAAT 6KA 2P 6A B KAR
Deposit N2 - B6,1743,ETI  AUTOMAAT15KA 80A 3P+N C
Deposit N2 - B6,1744,ETI  AUTOMAAT15KA 100A 3P+N C
Deposit N2 - B6,1745,ETI  AUTOMAAT15KA 125A 3P+N C
Deposit N2 - B6,1745,ETI  AUTOMAAT15KA 125A 3P+N C
Deposit N2 - B6,1748,ETI TIJDKLOK SHT 1 KANAL 230V
Deposit N2 - B6,1749,ETI TIJDKLOK SHT 2 KANAL 230V
Deposit N2 - B6,1755,ETI AARDLEK AUTOM 2P B16 30MA
Deposit N2 - B6,1758,ETI AARDLEK AUTOM 2P C25 30MA
Deposit N2 - B6,1761,ETI VERMOGENS AUTOM EB 400/4S
Deposit N2 - B6,1784,ETI AARDLEK AUTOM 1P+N25A C 30
Deposit N2 - B6,1941,PANELHANDLE 40A - 250A-DS-SA01
Deposit N2 - B6,1941,PANELHANDLE 40A - 250A-DS-SA01
Deposit N2 - B6,1945,DIRECT HANDLE 400A T/M 800A-CD
Deposit N2 - B6,1946,PANELHANDEL 500A 800A- DCCLA21
Deposit N2 - B6,1963,DIRECT HANDLE 200A-400A OMKEER
Deposit N2 - B6,1964,DIRECT HANDLE 630A-800A OMKEER
Deposit N2 - B6,1975,PANELHANDEL 125A-160A- DCELAB1
Deposit N2 - B6,1976,PANEL HANDEL 250A-400A-M21
Deposit N2 - B6,1977,PANEL HANDEL 630A-M21
Deposit N2 - B6,7037,JVM 65-125 100A 3P+N C-TYPE
Deposit N2 - B6,7038,JVM 65-125 125A 3P+N C-TYPE
Deposit N2 - B6,7040,LNC1  20A  2P 1MOD CONTACTOR
Deposit N2 - B6,7041,LNC1  20A  4P 2MOD CONTACTOR
Deposit N2 - B6,7042,LNC1 25A 4P 2MOD CONTACTOR
Deposit N2 - C1,1959,OMSCHAKELAAR 400A 3P+N
Deposit N2 - C1,1968,SCHAKELAAR MESPATR INB 125A
Deposit N2 - C1,1969,SCHAKELAAR MESPATR INB 160A
Deposit N2 - C1,1970,SCHAKELAAR MESPATR INB 250A
Deposit N2 - C1,1971,SCHAKELAAR MESPATR INB 400A
Deposit N2 - C1,1972,SCHAKELAAR MESPATR INB 630A
Deposit N2 - C1,7018,JVM19-63   6A  2P B-TYPE AUTOM
Deposit N2 - C1,7043,JVL5-40 16A 1P+N - C 30mA
Deposit N2 - C2,7000,JVD16 - 63   40A 4P SCHAKELAAR
Deposit N2 - C2,7001,JVD16 - 63   63A 4P SCHAKELAAR
Deposit N2 - C2,7003,JVD16 -125 100A 4P SCHAKELAAR
Deposit N2 - C2,7004,JVD16 -125 125A 4P SCHAKELAAR
Deposit N2 - C2,7007,JVL16 -63 40A 4P 300mA AARDLEK
Deposit N2 - C2,7008,JVL16 -63 63A 4P 300mA AARDLEK
Deposit N2 - C2,7009,JVM16 -32   6A1P+N B-TYPE AUT
Deposit N2 - C2,7022,JVM19 -63  16A 3P C-TYPE AUTOM
Deposit N2 - C2,7023,JVM19 -63  20A 3P C-TYPE AUTOM
Deposit N2 - C2,7024,JVM16 -63  25A 3P C-TYPE AUTOM
Deposit N2 - C2,7025,JVM16 -63  32A 3P C-TYPE AUTOM
Deposit N2 - C2,7026,JVM16 -63  40A 3P C-TYPE AUTOM
Deposit N2 - C2,7027,JVM19 -63  50A 3P C-TYPE AUTOM
Deposit N2 - C2,7027,JVM19 -63  50A 3P C-TYPE AUTOM
Deposit N2 - C2,7028,JVM19 -63  63A 3P C-TYPE AUTOM
Deposit N2 - C2,7062,JVRO16-32 1P+N C 20 30 mA
Deposit N2 - C2,7063,JVRO16-32 1P+N C 25 30 mA
Deposit N2 - C3,119801,BERKER COMB SCH/SCHUKO 437605
Deposit N2 - C3,1202,BERKER SERIE OPB 61300849
Deposit N2 - C3,1399,BERKER WIPSCHA 2X/WIS 61303808
Deposit N2 - C3,1403,BERKER WCD 127V  INB  WD 4202
Deposit N2 - C3,1404,BERKER WIPPENSCHAK 3x1P 633023
Deposit N2 - C3,1405,BERKER WIPSCHA UIT/WISS 613036
Deposit N2 - C3,1406,BERKER WIPSCHAK SERIE 613035
Deposit N2 - C3,1407,BERKER WIPSCHAK  2P 613032
Deposit N2 - C3,1408,BERKER WIPSCHAK  KRUIS 613037
Deposit N2 - C3,1409,BERKER UNIV DRAAI DIMM  286110
Deposit N2 - C3,1410,DRAAI DIMM DRUK/UIT 283010
Deposit N2 - C3,1412,BERKER AFDEKRAAM  2V  10128989
Deposit N2 - C3,1413,BERKER AFDEKRAAM  3V  10138989
Deposit N2 - C3,1414,BERKER AFDEKRAAM  4V  10148989
Deposit N2 - C3,1415,BERKER AFDEKRAAM  5V  10158989
Deposit N2 - C3,1416,BERKER AFDEKPL SCHAK 16208989
Deposit N2 - C3,1418,BERKER AFDEKPL SERIE 16238989
Deposit N2 - C3,14180,BERKER AFDPL SCHAK 3P 16658989
Deposit N2 - C3,1419,BERKER KNOP DRAAIDIMM 11378989
Deposit N2 - C3,1420,BERKER AFDEKRAAM 1V WD 132809
Deposit N2 - C3,1425,BERKER TOERENTAL  REGEL 296801
Deposit N2 - C3,1427,BERKER CENTR-STK DATA 11818989
Deposit N2 - C3,1428,BERKER DRAAGPL 2-V DATA 454105
Deposit N2 - C3,1429,BERKER-UNI DRAAI DIMM 286210
Deposit N2 - C3,1430,BERKER AFDICHTFLENS  V WD 1884
Deposit N2 - C3,1478,BERKER SCHUKO-DUBB 6147548989
Deposit N2 - C3,1480,BERKER DUBB SCHUKO IP44 427505
Deposit N2 - C3,7006,JVL16 -63  63A 4P 30mA AARDLEK
Deposit N2 - C3,7039,JVT3-16D TIMER
Deposit N2 - C4,7154,INB.KAST 12/14MD 5012R1
Deposit N2 - C4,7155,INB.KAST 24/28MD 5250R1
Deposit N2 - C4,7156,INB.KAST 36/42MD 5260R1
Deposit N2 - C5,7010,JVM16 -32  16A 1P+N B-TYPE AUT
Deposit N2 - C5,7011,JVM16 -32  20A 1P+N B-TYPE AUT
Deposit N2 - C5,7013,JVM16 -32  16A 1P+N C-TYPE AUT
Deposit N2 - C5,7014,JVM16 -32  20A 1P+N C-TYPE AUT
Deposit N2 - C5,7015,JVM16 -32  25A 1P+N C-TYPE AUT
Deposit N2 - C5,7016,JVM16 -32  32A 1P+N C-TYPE AUT
Deposit N2 - C5,7017,JVM19 -63  16A 2P B-TYPE AUTOM
Deposit N2 - C5,7019,JVM16 -63  16A 2P C-TYPE AUTOM
Deposit N2 - C5,7020,JVM19 -63  20A 2P C-TYPE AUTOM
Deposit N2 - C5,7021,JVM19 -63  25A 2P C-TYPE AUTOM
Deposit N2 - C6,7005,JVL16 -63  40A 4P 30mA AARDLEK
Deposit N2 - C6,7007,JVL16 -63 40A 4P 300mA AARDLEK
Deposit N2 - C6,7030,JVM16-63 16A 3P+N C-TYPE AUTOM
Deposit N2 - C6,7032,JVM16 -63 32A 3P+N C-TYPE AUTO
Deposit N2 - C6,7033,JVM16 -63 40A 3P+N C-TYPE AUTO
Deposit N2 - C6,7034,JVM16 -63 50A 3P+N C-TYPE AUTO
Deposit N2 - C6,7035,JVM16 -63 63A 3P+N C-TYPE AUTO
Deposit N2 - C6,7182,ROL VERLENGSNOER 15M 7423/1
Deposit N2 - C6,7183,ROL VERLENGSNOER 25M 7425/1
Deposit N2 - D1,7153,OPB.KAST 56MD 5271R1
Deposit N2 - D1,7167,OPB.KAST 12MD 8703R1
Deposit N2 - D1,7169,OPB.KAST WD 11MD BW 1311AR1
Deposit N2 - D2,1664,MOELLER INB BF-U-4/96
Deposit N2 - D2,7146,OPB.KAST WD 8MD 1308PR1 BW
Deposit N2 - D2,7152,OPB.KAST 42MD 5261R1
Deposit N2 - D3,1657,MOELLER OPB BF-0-5/120
Deposit N2 - D3,1661,MOELLER INB BF-U-5/165
Deposit N2 - D3,7141,BW.KAST WD 16MD  1316P-R1
Deposit N2 - D3,7145,BW.KAST WD 32MD 1332PR1
Deposit N2 - D4,1656,MOELLER OPB BF-0-4/96
Deposit N2 - D4,7149,OPB.KAST 8MD 5109R1
Deposit N2 - D4,7150,OPB.KAST 14MD 5021R1
Deposit N2 - D5,1992,SCHAKELKAST MESPATROON 400A
Deposit N2 - D5,1993,SCHAKELKAST MESPATROON 630A
Deposit N2 - D5,3314,PICKENS RFTN 150W 7000K FLAT
Deposit N2 - D6,0511,PLAFONDDOOS 97371201 GRO-2 120
Deposit N2 - D6,1510,INBOUWKAST 1-RIJ BLD 610372
Deposit N2 - D6,1991,SCHAKELKAST MESPATROON 250A
Deposit N2 - D6,3487,ETI 3901375  EINDPLAAT VSV4
Deposit N2 - D6,3487,ETI 3901375  EINDPLAAT VSV4
Deposit N2 - D6,3487,ETI 3901375  EINDPLAAT VSV4
Deposit N2 - D6,3492,ETI3901360 LIN UP  VSV4 FUSE
Deposit N2 - D6,3492,ETI3901360 LIN UP  VSV4 FUSE
Deposit N2 - D6,3493,ETI 3901539 GR VS 35 YELLO/GR
Deposit N2 - D6,3494,ETI 3901518 GR VS 16 YELLO/GR
Deposit N2 - D6,3495,ETI 3901497 GR VS6 YELLO/GR
Deposit N2 - D6,3496,ETI 3901476 GR VS4 YELLO/GR
Deposit N2 - D6,3498,ETI 3901037 TERMINAL VS 4MM
Deposit N2 - D6,3500,ETI 3901068 TERMINAL VS 6 IVOR
Deposit N2 - D6,3501,ETI 3901069 TERMINAL VS 6 BLUE
Deposit N2 - D6,3502,ETI 3901129 TERMINAL VS 16 IVO
Deposit N2 - D6,3503,ETI 3901130 TERMINAL VS16 BLUE
Deposit N2 - D6,3504,ETI 3901188 TERMINAL VS 70 IVO
Deposit N2 - D6,3504,ETI 3901188 TERMINAL VS 70 IVO
Deposit N2 - D6,3505,ETI 3901189 TERMINAL VS70 BLUE
Deposit N2 - D6,3506,ETI 3901101 TERMINAL VS10 IVOR
Deposit N2 - D6,3507,ETI 3901102 TERMINAL VS10 BLUE
Deposit N2 - D6,3508,ETI 3901157 TERMINAL VS35 IVOR
Deposit N2 - D6,7157,INB.KAST 48/56MD 5270R1
Deposit N3 - A1,0493,KABELDOOS EP088 (18100)
Deposit N3 - A1,0494,KABELDOOS EV111(18300)
Deposit N3 - A1,1196,WCD EUR ENK R/A OPB WD KOPP
Deposit N3 - A1,1236,CONTRA STEK R/A RUBBER HSKP16G
Deposit N3 - A1,15141,OPBOUW KAST WD CS13PT/RR
Deposit N3 - A1,3252,U-BUIS   40W DL
Deposit N3 - A1,7158,OPB.STOPCONTACT WD 3160
Deposit N3 - A1,7160,RUBBER STEKKER 5706C
Deposit N3 - A1,7163,TERMOPLASTIC STEKKER 6428 WIT
Deposit N3 - A1,7164,TERMOPLASTIC CONTRA 6707B WIT
Deposit N3 - A1,7165,TERMOPLASTIC CONTRA 6707CN
Deposit N3 - A1,7166,TERMOPLASTIC CONTRA 5019
Deposit N3 - A1,7173,TERMOPLASTIC ZIJK STEKKER 6566
Deposit N3 - A2,0390,MONTAGEBAND 12mm
Deposit N3 - A2,0391,MONTAGEBAND 17mm
Deposit N3 - A2,0408,KABEL EINDHULS 2x4mm ISOLEERT
Deposit N3 - A2,1157,3 GANG BOX METAAL MSB-3
Deposit N3 - A2,1158,4 GANG BOX METAAL MSB-4
Deposit N3 - A2,1159,5 GANG BOX METAAL MSB-5
Deposit N3 - A2,1161,PHOTOCEL 220 VOLT A-1068W
Deposit N3 - A2,1216,"TREKKOORTJE  1,9 mtr"
Deposit N3 - A2,1218,TIMER 250V/50Hz WHITE
Deposit N3 - A2,1223,KOPP WCD EUR DUB R/AOPB 74108
Deposit N3 - A2,1223,KOPP WCD EUR DUB R/AOPB 74108
Deposit N3 - A2,1237,VERLOOP STEKKER PEN PL 695
Deposit N3 - A2,1242,VERLOOP STEKKER PEN RO 686
Deposit N3 - A2,1651,RAIL COPPER 30X10X2000 48803
Deposit N3 - A2,16510,RAIL COPPER 20X5X1000 48794
Deposit N3 - A2,3119,SURGE PROTECTOR 127V USB
Deposit N3 - A2,3292,STARTERHOUDER PLAT     125-6
Deposit N3 - A2,3293,STARTERHOUDER CLIP     125-5
Deposit N3 - A2,33210,PICKENS LMP 250W PUBLIC 6000K
Deposit N3 - A2,7070,ADER EINDHULS 1.5mm E1508
Deposit N3 - A2,7071,ADER EINDHULS 2.5mm E2508
Deposit N3 - A2,7072,ADER EINDHULS 4mm E4012
Deposit N3 - A2,7073,ADER EINDHULS 6mm E6012
Deposit N3 - A2,7076,ADER EINDHULS 25mm E2516
Deposit N3 - A2,7077,ADER EINDHULS 35mm E3516
Deposit N3 - A2,7078,ADER EINDHULS 50mm E5020
Deposit N3 - A2,7079,ADER EINDHULS 2X1.5mm TE1508
Deposit N3 - A2,7079,ADER EINDHULS 2X1.5mm TE1508
Deposit N3 - A2,7080,ADER EINDHULS 2X2.5mm TE2510
Deposit N3 - A2,7081,ADER EINDHULS 2X4mm TE4012
Deposit N3 - A2,7082,ADER EINDHULS 2X6mm TE6014
Deposit N3 - A2,7083,ADER EINDHULS 2X10mm TE1014
Deposit N3 - A2,7084,ADER EINDHULS 2X16mm TE1614
Deposit N3 - A2,7177,LAMPHOUDER 6511/75
Deposit N3 - B1,0480,T-DOOS              4206-D
Deposit N3 - B1,0481,MIDDENDOOS DUBBEL 4207-D
Deposit N3 - B1,0484,TOP T DOOS DUBB. R. 4210-D
Deposit N3 - B1,0485,TOP T DOOS DUBB. L.  4211-D
Deposit N3 - B10,1034,WCD AM INB DUB R/A DEC 1107V
Deposit N3 - B10,1036,WCD AM INB 220V R/A     1876V
Deposit N3 - B10,1117,WALLPLATE AM TRI SW       953V
Deposit N3 - B10,1118,WALLPLATE AM BLD        2129V
Deposit N3 - B10,1120,WALLPLATE AM ENK RP 2131V
Deposit N3 - B10,1122,WALLPLATE AM D RP 2-V  2150V
Deposit N3 - B10,1123,WALLPLATE AM DECO        2151V
Deposit N3 - B10,3431,WALLPLATE 2 SCHAK 2137
Deposit N3 - B11,1000,SCHAK AM WIS  DUB 276W
Deposit N3 - B11,1002,SCHAK AM ENK POL 271W
Deposit N3 - B11,10090,SCHAK DUB  WISSEL DECO 7731W
Deposit N3 - B11,10093,SCHAK AM ENK-WIS 7732W
Deposit N3 - B11,1015,SCHAK DECO COMB &WCD 7730W
Deposit N3 - B11,1020,COM SCHAK & WCD 127v -TR274W
Deposit N3 - B12,0998,3 OUTLET 1192W-SP
Deposit N3 - B12,1026,USB Charging station 7750W
Deposit N3 - B12,1030,WCD AM OPB DUB R/A         78W
Deposit N3 - B12,1038,WCD AM OPB DUB R/A         78V
Deposit N3 - B12,1039,WCD AM OPB DUB 220V R/A  74V
Deposit N3 - B12,11101,WALLPLATE DECO BLIND 2160W
Deposit N3 - B12,111011,WALLPL AM ASPIRE 3-V 9523WS
Deposit N3 - B12,111012,WALLPL AM ASPIRE 4-V 9524WS
Deposit N3 - B12,1121,WALLPLATE AM DUB RP 2132V
Deposit N3 - B12,1135,WALLPLATE OPEN 5/8
Deposit N3 - B2,1010,DIMMER SCHUIF  SI061W / 6422
Deposit N3 - B2,10101,DIMMER  WISS SI06P-W /SUL06P-W
Deposit N3 - B2,1018,DIMMER 1000W             1000
Deposit N3 - B2,1019,DIMMER SCHUIF DUB LEV6628W
Deposit N3 - B2,1142,STEK RUB P/A 127V         1709
Deposit N3 - B2,1143,STEK RUB P/A  15A 220V  4866
Deposit N3 - B2,1147,CONT STEKKER RUB P/A 220V 4227
Deposit N3 - B3,0467,ATTEMA  GIETMOF PAKKET 2511
Deposit N3 - B3,1024,WCD AM INB DUB  R/A       270W
Deposit N3 - B3,1025,WCD AM INB EN 220V R/A 1876W
Deposit N3 - B3,1031,WCD AM INB ENK USB PORT TR7740
Deposit N3 - B3,3122,REFLECTOR LED 30W 2400LM 6000K
Deposit N3 - B4,1100,WALLPLATE AM SW (INB) 2134W
Deposit N3 - B4,1106,WALLPLATE AM ENK RP  2131W
Deposit N3 - B4,1108,WALLPLATE AM D RP 2-V  2150W
Deposit N3 - B4,11107,WALLPLATE AM DECO 4-V 2164W
Deposit N3 - B4,11108,WALLPLATE AM DECO 5-V 2165W
Deposit N3 - B4,3103,FOCO LED A19 6W 540LM 3000K
Deposit N3 - B4,3106,FOCO LED T140 BASE E27 50W 65K
Deposit N3 - B4,3107,FOCO LED T150 100W 6500K 9000L
Deposit N3 - B4,3110,RECESADO REDONDO 6W 360LM 3K
Deposit N3 - B4,31101,RECESADO REDONDO 6W 387LM 6K
Deposit N3 - B4,3111,RECESADO REDONDO 12W 720LM 3K
Deposit N3 - B4,3112,RECESADO REDONDO 12W 720LM 6K
Deposit N3 - B4,3113,RECESADO REDONDO12W CCT
Deposit N3 - B4,3114,RECESADO REDONDO 18W 1440LM 6K
Deposit N3 - B4,3116,RECESADO REDONDO 24W 2035LM 6K
Deposit N3 - B4,3117,SUPERFICIAL REDONDO 18W CCT
Deposit N3 - B4,3118,OPBOUW REDONDO 24W 2035LM 6K
Deposit N3 - B4,3330,PICKENS 9  WATT 6500K LED SPOT
Deposit N3 - B5,0485,TOP T DOOS DUBB. L.  4211-D
Deposit N3 - B5,0501,LASDOOS TOP T DOOS L DUBB3211
Deposit N3 - B5,0502,LASDOOS TOP T  R DUBB 3210
Deposit N3 - B5,0504,LASDOOS VORK TOP LINKS 3209
Deposit N3 - B5,0509,LASD EIND ACHTER INV 2031 att
Deposit N3 - B5,0510,LASD TREK ACHTER INV 3222
Deposit N3 - B6,0992,STRAP 2 PORTMOD-5522-5EW DECOR
